word	phonemes	number_letters	number_phonemes	freq_per_million
you	j.u	3	2	41857.1176
I	aI	1	1	39971.1569
the	D.5	3	2	29449.1765
to	t.u	2	2	22677.8431
a	eI	1	1	20415.2745
it	I.t	2	2	18896.3137
that	D.1.t	4	3	14111.3137
and	1.n.d	3	3	13387.8431
of	V.v	2	2	11577.2353
What	w.V.t	4	3	9842.451
in	I.n	2	2	9773.4118
me	m.i	2	2	9241.9412
is	I.z	2	2	9013
we	w.i	2	2	9011.902
this	D.I.s	4	3	7978.7255
he	h.i	2	2	7637.1961
on	A.n	2	2	6955.7255
for	f.or	3	2	6895.098
my	m.aI	2	2	6762.7255
your	j.Ur	4	2	6445.3922
don	d.A.n	3	3	6295.7843
have	h.1.v	4	3	6161.4118
do	d.u	2	2	6135.5882
re	r0.i	2	2	6099.451
No	n.oU	2	2	5971.549
be	b.i	2	2	5746.7647
know	n.oU	4	2	5721.1765
was	w.V.z	3	3	5654.7255
not	n.A.t	3	3	5424.9608
can	k.1.n	3	3	5247.451
are	Ar	3	1	5209.2549
all	O.l	3	2	5161.8627
with	w.I.D	4	3	5048.3333
just	dZ.V.s.t	4	4	4749.1373
get	g.E.t	3	3	4583.7647
here	h.ir.56	4	3	4525.2549
but	b.V.t	3	3	4417.4706
there	D.Er	5	2	4348.1176
so	s.oU	2	2	4244.1569
they	D.eI	4	2	4102.9412
right	r0.aI.t	5	3	4008.3922
like	l.aI.k	4	3	3998.9608
out	aU.t	3	2	3865.3137
go	g.oU	2	2	3793.0392
she	S.i	3	2	3732.8824
up	V.p	2	2	3670
about	5.b.aU.t	5	4	3631.4902
if	I.f	2	2	3541.3725
him	h.I.m	3	3	3484.5098
got	g.A.t	3	3	3306.4902
Oh	oU	2	1	3289.8235
at	1.t	2	2	3217.098
now	n.aU	3	2	3202.6078
Come	k.V.m	4	3	3140.9804
one	w.V.n	3	3	3072.2353
How	h.aU	3	2	3056.2157
Well	w.E.l	4	3	2990.6471
Yeah	j.E.h	4	3	2985.5294
her	h.36	3	2	2835.8235
want	w.A.n.t	4	4	2759.1765
think	T.I.N.k	5	4	2691.3922
good	g.U.d	4	3	2610.1373
see	s.i	3	2	2556.7255
Let	l.E.t	3	3	2419.2353
did	d.I.d	3	3	2341.3725
Why	w.aI	3	2	2248.7647
who	h.u	3	2	2222.9412
as	1.z	2	2	2217.0196
his	h.I.z	3	3	2124.7843
will	w.I.l	4	3	2123.6471
going	g.oU.I.N	5	4	2123.2941
from	f.r0.V.m	4	4	2039.0588
when	w.E.n	4	3	2034.098
back	b.1.k	4	3	2009.1569
Okay	oU.k.eI	4	3	2006.2745
Yes	j.E.s	3	3	1996.7647
time	t.aI.m	4	3	1958.6275
look	l.U.k	4	3	1947.2745
take	t.eI.k	4	3	1891.0392
an	5.n	2	2	1864.1373
man	m.1.n	3	3	1845.7451
Where	w.Er	5	2	1830.2157
them	D.E.m	4	3	1778.8235
would	w.U.d	5	3	1767.8824
been	b.I.n	4	3	1736.7255
some	s.V.m	4	3	1727.2353
Hey	h.eI	3	2	1727.0392
tell	t.E.l	4	3	1724.4902
or	or	2	1	1705.2941
us	V.z	2	2	1695.6471
had	h.1.d	3	3	1675.9216
were	w.36	4	2	1662.8235
say	s.eI	3	2	1639.7843
could	k.U.d	5	3	1629.5882
something	s.V.m.T.I.N	9	6	1500.1569
really	r0.ir.l.i	6	4	1500.1569
down	d.aU.n	4	3	1490.2745
then	D.E.n	4	3	1489.5294
little	l.I.t.l	6	4	1446.3922
way	w.eI	3	2	1424.7255
our	aU.56	3	2	1400.4902
make	m.eI.k	4	3	1387.7451
too	t.u	3	2	1371.5686
never	n.E.v.56	5	4	1362.549
by	b.aI	2	2	1340.4706
over	oU.v.56	4	3	1323.2941
more	m.or	4	2	1298.5882
need	n.i.d	4	3	1294.902
mean	m.i.n	4	3	1243.9804
very	v.E.r0.i	4	4	1241.2549
off	O.f	3	2	1179.5098
sorry	s.O.r0.i	5	4	1167.9608
give	g.I.v	4	3	1167.8235
has	h.1.z	3	3	1133.9216
Thank	T.1.N.k	5	4	1115.2353
love	l.V.v	4	3	1114.9804
said	s.E.d	4	3	1108.451
am	1.m	2	2	1106.6275
people	p.i.p.l	6	4	1102.9804
please	p.l.i.z	6	4	1100.9608
sure	S.Ur	4	2	1099.8235
any	E.n.i	3	3	1099.3725
thing	T.I.N	5	3	1088.6667
only	oU.n.l.i	4	4	1083.7059
because	b.I.k.V.z	7	5	1071.0196
two	t.u	3	2	1066.3529
should	S.U.d	6	3	1061.9412
doing	d.u.I.N	5	4	1029.2549
much	m.V.tS	4	3	973.2549
sir	s.36	3	2	964.4706
Maybe	m.eI.b.i	5	4	926.451
help	h.E.l.p	4	4	921.1176
anything	E.n.I0.T.I.N	8	6	907.2549
these	D.i.z	5	3	904
God	g.A.d	3	3	903.1569
even	i.v.5.n	4	4	875.9216
night	n.aI.t	5	3	866.0392
call	k.O.l	4	3	861.3922
talk	t.O.k	4	3	855
nothing	n.V.T.I.N	7	5	853.6078
into	I.n.t.U	4	4	844.5882
first	f.36.s.t	5	4	840.5686
find	f.aI.n.d	4	4	830.9608
wait	w.eI.t	4	3	830.2549
put	p.U.t	3	3	828.451
great	g.r0.eI.t	5	4	820.8627
thought	T.O.t	7	3	808.4706
day	d.eI	3	2	801.8235
work	w.36.k	4	3	798.0196
life	l.aI.f	4	3	796.6471
before	b.I.f.or	6	4	794.1373
better	b.E.t.56	6	4	794
again	5.g.E.n	5	4	792.7059
still	s.t.I.l	5	4	788.7255
home	h.oU.m	4	3	774.3333
guy	g.aI	3	2	762.6078
won	w.V.n	3	3	759.3922
those	D.oU.z	5	3	753.0196
than	D.5.n	4	3	738.8039
around	5.r0.aU.n.d	6	5	736.7255
other	V.D.56	5	3	735.3922
away	5.w.eI	4	3	730.902
new	n.u	3	2	723.7843
last	l.1.s.t	4	4	723.098
uh	V	2	1	717.2353
ever	E.v.56	4	3	709.2157
stop	s.t.A.p	4	4	707.2745
keep	k.i.p	4	3	702.8627
told	t.oU.l.d	4	4	699.5882
must	m.V.s.t	4	4	699.2353
things	T.I.N.z	6	4	692.8824
big	b.I.g	3	3	682.8235
after	1.f.t.56	5	4	682.5882
long	l.A.N	4	3	675.1569
does	d.V.z	4	3	666.7059
always	O.l.w.eI.z	6	5	655.2549
their	D.Er	5	2	655.1569
everything	E.v.r0.I0.T.I.N	10	7	654.8824
nice	n.aI.s	4	3	649.5098
name	n.eI.m	4	3	641.8627
money	m.V.n.i	5	4	640.7647
guys	g.aI.z	4	3	631.3333
feel	f.i.l	4	3	627.2353
believe	b.I0.l.i.v	7	5	625.1373
Thanks	T.1.N.k.s	6	5	623.3137
old	oU.l.d	3	3	608.9412
place	p.l.eI.s	5	4	602.6667
fine	f.aI.n	4	3	598.0784
kind	k.aI.n.d	4	4	590.6863
Hello	h.5.l.oU	5	4	585.4314
lot	l.A.t	3	3	569.9216
years	j.ir.56.z	5	4	568.6863
made	m.eI.d	4	3	561.2941
leave	l.i.v	5	3	560.7059
Hi	h.aI	2	2	558.1176
girl	g.36.l	4	3	557.1176
hear	h.ir.56	4	3	555.3529
father	f.A.D.56	6	4	554.4902
through	T.r0.u	7	3	549.5294
every	E.v.r0.i	5	4	549.1569
bad	b.1.d	3	3	545.1765
Listen	l.I.s.5.n	6	5	544.7843
remember	r0.I0.m.E.m.b.56	8	7	542.4706
three	T.r0.i	5	3	542.2353
boy	b.OI	3	2	529.8235
coming	k.V.m.I0.N	6	5	527.0196
wrong	r0.O.N	5	3	523.098
might	m.aI.t	5	3	516.3529
stay	s.t.eI	4	3	515.6471
house	h.aU.s	5	3	514
may	m.eI	3	2	511.3725
baby	b.eI.b.i	4	4	509.3725
another	5.n.V.D.56	7	5	509.2157
Ok	oU.k.eI	2	3	508.3922
Dad	d.1.d	3	3	507.2549
wanted	w.A.n.t.I0.d	6	6	502.2745
enough	I0.n.V.f	6	4	501.3333
talking	t.O.k.I.N	7	5	497.7451
happened	h.1.p.5.n.d	8	6	490.0784
show	S.oU	4	2	488.3529
course	k.or.s	6	3	487.2157
being	b.i.j.I.N	5	5	485.902
care	k.Er	4	2	485.2549
done	d.V.n	4	3	485.0392
getting	g.E.t.I.N	7	5	484.6863
mind	m.aI.n.d	4	4	484.6078
left	l.E.f.t	4	4	484.451
ask	1.s.k	3	3	483.1373
car	k.Ar	3	2	483.0588
understand	V.n.d.56.s.t.1.n.d	10	9	482.451
mother	m.V.D.56	6	4	479.9216
which	w.I.tS	5	3	477.2353
try	t.r0.aI	3	3	476.7451
shit	S.I.t	4	3	474.6471
hell	h.E.l	4	3	470.8235
Miss	m.I.s	4	3	467.6471
came	k.eI.m	4	3	463.7255
own	oU.n	3	2	459.1961
world	w.36.l.d	5	4	455.2157
guess	g.E.s	5	3	453.9804
next	n.E.k.s.t	4	5	452.7451
kill	k.I.l	4	3	452.5686
else	E.l.s	4	3	449.1569
dead	d.E.d	4	3	448.9804
trying	t.r0.aI.I.N	6	5	448.0196
someone	s.V.m.w.V.n	7	6	446.1176
real	r0.i.j.5.l	4	5	442.8039
room	r0.u.m	4	3	439.5098
morning	m.or.n.I.N	7	5	439
huh	h.V	3	2	438.2353
hold	h.oU.l.d	4	4	436.7255
woman	w.U.m.5.n	5	5	434.6275
yourself	j.or.s.E.l.f	8	6	434.3333
today	t.5.d.eI	5	4	433.8039
looking	l.U.k.I.N	7	5	432.6667
Mom	m.A.m	3	3	430.3922
friend	f.r0.E.n.d	6	5	419.2941
move	m.u.v	4	3	418.1373
same	s.eI.m	4	3	417.1765
job	dZ.A.b	3	3	413
tonight	t.5.n.aI.t	7	5	412.6863
went	w.E.n.t	4	4	411.5098
son	s.V.n	3	3	410.7647
best	b.E.s.t	4	4	404.3725
saw	s.O	3	2	402.4902
found	f.aU.n.d	5	4	396
pretty	p.r0.I.t.i	6	5	392.2157
ready	r0.E.d.i	5	4	387.8039
heard	h.36.d	5	3	387.7451
whole	h.oU.l	5	3	385.4902
seen	s.i.n	4	3	384.9608
together	t.5.g.E.D.56	8	6	383.3922
fuck	f.V.k	4	3	378.5686
minute	m.I.n.I.t	6	5	377.4902
men	m.E.n	3	3	372.7647
head	h.E.d	4	3	371.5098
matter	m.1.t.56	6	4	370.5882
haven	h.eI.v.5.n	5	5	369.4902
knew	n.u	4	2	368.9608
Excuse	E.k.s.k.j.u.s	6	7	368.098
many	m.E.n.i	4	4	359.4314
idea	aI.d.ir	4	3	359.0392
without	w.I.D.aU.t	7	5	354.6471
play	p.l.eI	4	3	354.5294
family	f.1.m.I.l.i	6	6	354.2549
meet	m.i.t	4	3	352.2745
most	m.oU.s.t	4	4	350.7647
run	r0.V.n	3	3	350.549
while	w.aI.l	5	3	349.4314
wife	w.aI.f	4	3	348.9216
once	w.V.n.s	4	4	344.8824
live	l.aI.v	4	3	344.5882
somebody	s.V.m.b.A.d.i	8	7	344.5294
everybody	E.v.r0.I0.b.A.d.i	9	8	344.2157
used	j.u.z.d	4	4	344.1373
use	j.u.s	3	3	343.8431
myself	m.aI.s.E.l.f	6	6	342.549
took	t.U.k	4	3	342.2353
yet	j.E.t	3	3	341.7255
start	s.t.Ar.t	5	4	340.098
called	k.O.l.d	6	4	340.0196
kid	k.I.d	3	3	339.1961
tomorrow	t.5.m.O.r0.oU	8	6	335.9608
happy	h.1.p.i	5	4	333.1961
school	s.k.u.l	6	4	333.1176
problem	p.r0.A.b.l.5.m	7	7	330.0588
watch	w.A.tS	5	3	330.0196
bring	b.r0.I.N	5	4	327.1569
fucking	f.V.k.I.N	7	5	325.549
actually	1.k.tS.u.l.l.i	8	7	322.3333
business	b.I.z.n.5.s	8	6	321
says	s.E.z	4	3	320.7059
hope	h.oU.p	4	3	320.6275
open	oU.p.5.n	4	4	320.4118
already	O.l.r0.E.d.i	7	6	318.549
since	s.I.n.s	5	4	314.9804
looks	l.U.k.s	5	4	311.4902
sit	s.I.t	3	3	311.3529
cause	k.O.z	5	3	310.0392
alone	5.l.oU.n	5	4	308.5294
hard	h.Ar.d	4	3	307.8431
wants	w.A.n.t.s	5	5	306.9608
stuff	s.t.V.f	5	4	306.9216
turn	t.36.n	4	3	306.4706
days	d.eI.z	4	3	305.7255
friends	f.r0.E.n.d.z	7	6	305.451
until	V.n.t.I.l	5	5	302.4706
few	f.j.u	3	3	301.8235
kids	k.I.d.z	4	4	301.098
honey	h.V.n.i	5	4	300.4902
gone	g.O.n	4	3	296.7647
both	b.oU.T	4	3	295.3333
door	d.or	4	2	292.0588
later	l.eI.t.56	5	4	291.9412
saying	s.eI.I.N	6	4	291.6471
such	s.V.tS	4	3	291.2157
killed	k.I.l.d	6	4	290.0392
having	h.1.v.I.N	6	5	289.2549
face	f.eI.s	4	3	289.1569
worry	w.V.r0.i	5	4	287.0196
ago	5.g.oU	3	3	286.1176
five	f.aI.v	4	3	285.451
second	s.E.k.5.n.d	6	6	284.5686
brother	b.r0.V.D.56	7	5	283.9412
damn	d.1.m	4	3	283.5294
case	k.eI.s	4	3	282.4118
thinking	T.I.N.k.I.N	8	6	281.4314
probably	p.r0.A.b.5.b.l.i	8	8	280.8431
beautiful	b.j.u.t.I.f.l	9	7	279.7255
hand	h.1.n.d	4	4	279.6471
check	tS.E.k	5	3	278.9804
year	j.ir.56	4	3	277.9216
forget	f.56.g.E.t	6	5	277.0588
hit	h.I.t	3	3	275
lost	l.O.s.t	4	4	274
minutes	m.I.n.I.t.s	7	6	273.0196
crazy	k.r0.eI.z.i	5	5	272.2745
late	l.eI.t	4	3	269.7255
phone	f.oU.n	5	3	269.7255
Nobody	n.oU.b.A.d.i	6	6	266.6471
end	E.n.d	3	3	265.8627
easy	i.z.i	4	3	265.7059
doctor	d.A.k.t.56	6	5	263.9412
Shut	S.V.t	4	3	263.8235
under	V.n.d.56	5	4	261.9216
part	p.Ar.t	4	3	261.5098
deal	d.i.l	4	3	261.3725
die	d.aI	3	2	261.1373
soon	s.u.n	4	3	257.6471
four	f.or	4	2	255.7843
anyone	E.n.I.w.V.n	6	6	255.2549
pay	p.eI	3	2	254.6078
happen	h.1.p.5.n	6	5	254.2745
TRUE	t.r0.u	4	3	253.3529
each	i.tS	4	2	253.2549
supposed	s.V.p.oU.z.d	8	6	252.2549
eat	i.t	3	2	251.8824
Jack	dZ.1.k	4	3	251.5882
mine	m.aI.n	4	3	250.9804
working	w.36.k.I.N	7	5	250.4902
town	t.aU.n	4	3	247.9216
afraid	5.f.r0.eI.d	6	5	247.6667
drink	d.r0.I.N.k	5	5	247.3922
exactly	E.g.z.1.k.t.l.i	7	8	247.1961
whatever	w.V.t.E.v.56	8	6	246.7451
hurt	h.36.t	4	3	246.3529
knows	n.oU.z	5	3	244.9412
heart	h.Ar.t	5	3	244.1765
gave	g.eI.v	4	3	243.6863
young	j.V.N	5	3	243.1765
everyone	E.v.r0.I.w.V.n	8	7	241.6471
chance	tS.1.n.s	6	4	241.2353
read	r0.i.d	4	3	241.2157
makes	m.eI.k.s	5	4	241.098
number	n.V.m.b.56	6	5	240.9412
taking	t.eI.k.I.N	6	5	240.451
change	tS.eI.n.dZ	6	4	240.3529
anyway	E.n.I0.w.eI	6	5	238.5098
week	w.i.k	4	3	238.5098
married	m.1.r0.I.d	7	5	238.4902
point	p.OI.n.t	5	4	236.5294
hands	h.1.n.d.z	5	5	236.5294
police	p.5.l.i.s	6	5	236.1569
word	w.36.d	4	3	235.549
fun	f.V.n	3	3	235.4902
wish	w.I.S	4	3	235.1176
bit	b.I.t	3	3	235.0392
game	g.eI.m	4	3	233.8431
party	p.Ar.t.i	5	4	233.1373
set	s.E.t	3	3	231.4706
cut	k.V.t	3	3	229.7647
comes	k.V.m.z	5	4	228.549
sleep	s.l.i.p	5	4	227.9412
shot	S.A.t	4	3	227.4314
anybody	E.n.I0.b.A.d.i	7	7	226.9216
ass	1.s	3	2	226.3725
stand	s.t.1.n.d	5	5	226.1961
water	w.O.t.56	5	4	225.0588
boys	b.OI.z	4	3	224.1569
trouble	t.r0.V.b.l	7	5	223.549
dear	d.ir.56	4	3	223.4314
couple	k.V.p.l	6	4	223.4118
gets	g.E.t.s	4	4	222.8235
making	m.eI.k.I.N	6	5	222.5294
eyes	aI.z	4	2	221.549
break	b.r0.eI.k	5	4	221.0784
story	s.t.or.r0.i	5	5	220.7843
far	f.Ar	3	2	220.7647
times	t.aI.m.z	5	4	220.0196
Um	V.m	2	2	219.549
close	k.l.oU.s	5	4	219.4314
means	m.i.n.z	5	4	218.3529
funny	f.V.n.i	5	4	218.1765
goes	g.oU.z	4	3	217.2745
lady	l.eI.d.i	4	4	217.0784
death	d.E.T	5	3	216.6863
asked	1.s.k.t	5	4	216.2549
walk	w.O.k	4	3	215.8627
fire	f.aI.56	4	3	215.4902
hours	aU.5.z	5	3	214.8824
hate	h.eI.t	4	3	214.5882
gun	g.V.n	3	3	213.1961
rest	r0.E.s.t	4	4	212.9608
person	p.36.s.5.n	6	5	212.8824
inside	I.n.s.aI.d	6	5	211.2745
waiting	w.eI.t.I.N	7	5	211.1176
different	d.I.f.r0.5.n.t	9	7	209.5294
girls	g.36.l.z	5	4	208.3529
Captain	k.1.p.t.I.n	7	6	208.2745
least	l.i.s.t	5	4	207.7647
important	I.m.p.or.t.5.n.t	9	8	207.5882
Ah	A	2	1	206.5686
also	A.l.s.oU	4	4	206.4314
line	l.aI.n	4	3	206.1765
yours	j.or.z	5	3	204.7255
office	A.f.I0.s	6	4	203.902
dinner	d.I.n.56	6	4	202.6667
quite	k.w.aI.t	5	4	202.5882
against	5.g.E.n.s.t	7	6	201.7255
fight	f.aI.t	5	3	201.0784
side	s.aI.d	4	3	200.9216
six	s.I.k.s	3	4	199.5294
half	h.1.f	4	3	199.1373
pick	p.I.k	4	3	198.3922
question	k.w.E.s.tS.5.n	8	7	198.3529
ahead	5.h.E.d	5	4	198.3333
Michael	m.aI.k.l	7	4	198.3333
cool	k.u.l	4	3	195.8824
women	w.I.m.I.n	5	5	195.6471
body	b.A.d.i	4	4	195.5294
high	h.aI	4	2	195
husband	h.V.s.b.5.n.d	7	7	194.8039
John	dZ.A.n	4	3	193.6667
reason	r0.i.z.5.n	6	5	193.2941
almost	O.l.m.oU.s.t	6	6	193.2745
dog	d.A.g	3	3	192.8431
buy	b.aI	3	2	192.4314
truth	t.r0.u.T	5	4	192.1765
met	m.E.t	3	3	191.3333
telling	t.E.l.I.N	7	5	190.7843
hot	h.A.t	3	3	189.8431
anymore	E.n.I0.m.or	7	5	188.1765
behind	b.I.h.aI.n.d	6	6	187.8627
started	s.t.Ar.t.I0.d	7	6	187.5686
speak	s.p.i.k	5	4	187.1765
bed	b.E.d	3	3	187.1176
moment	m.oU.m.5.n.t	6	6	187.0392
tried	t.r0.aI.d	5	4	186.8431
blood	b.l.V.d	5	4	186.1176
ma	m.A	2	2	185.8039
shall	S.1.l	5	3	185.1176
Daddy	d.1.d.i	5	4	185.0784
stupid	s.t.u.p.I.d	6	6	184.4118
along	5.l.A.N	5	4	182.9412
either	i.D.56	6	3	182.5098
though	D.oU	6	2	181.9412
front	f.r0.V.n.t	5	5	181.549
sister	s.I.s.t.56	6	5	180.5294
Bye	b.aI	3	2	180.0784
send	s.E.n.d	4	4	179.7843
welcome	w.E.l.k.V.m	7	6	179.2157
sometimes	s.V.m.t.aI.m.z	9	7	179
trust	t.r0.V.s.t	5	5	178.1765
free	f.r0.i	4	3	177.5294
book	b.U.k	4	3	176.9804
answer	1.n.s.56	6	4	176.1961
between	b.I.t.w.i.n	7	6	175.1373
children	tS.I.l.d.r0.5.n	8	7	175.098
war	w.or	3	2	174.7451
Hurry	h.36.r0.i	5	4	173.6471
fact	f.1.k.t	4	4	172.5686
brought	b.r0.O.t	7	4	172.2745
clear	k.l.ir.56	5	4	171.8235
bet	b.E.t	3	3	171.8235
its	I.t.s	3	3	171.7059
white	w.aI.t	5	3	171.451
glad	g.l.1.d	4	4	171.3725
daughter	d.O.t.56	8	4	171.3529
outside	aU.t.s.aI.d	7	5	170.0196
city	s.I.t.i	4	4	169.098
bitch	b.I.tS	5	3	168.8039
feeling	f.i.l.I.N	7	5	168.1765
black	b.l.1.k	5	4	167.9412
seems	s.i.m.z	5	4	167.549
full	f.U.l	4	3	166.902
till	t.I.l	4	3	166.7255
sick	s.I.k	4	3	165.4314
light	l.aI.t	5	3	165.1961
shoot	S.u.t	5	3	164.9412
news	n.u.z	4	3	164.6863
lose	l.u.z	4	3	164.3529
wonderful	w.V.n.d.56.f.l	9	7	164
months	m.V.n.T.s	6	5	163.0196
save	s.eI.v	4	3	162.3137
hour	aU.5	4	2	162.2941
country	k.V.n.t.r0.i	7	6	161.8431
Jesus	dZ.i.z.5.s	5	5	161.1765
needs	n.i.d.z	5	4	160.7451
Wow	w.aU	3	2	160
able	eI.b.l	4	3	159.902
Frank	f.r0.1.N.k	5	5	159.3922
perfect	p.36.f.E.k.t	7	6	158.6471
running	r0.V.n.I.N	7	5	157.9216
child	tS.aI.l.d	5	4	157.6471
Whoa	w.oU.5	4	3	157.3137
died	d.aI.d	4	3	157.2157
order	or.d.56	5	3	156.5686
living	l.I.v.I.N	6	5	156.5294
sounds	s.aU.n.d.z	6	5	156.2745
alive	5.l.aI.v	5	4	154.4706
food	f.u.d	4	3	154.4314
gentlemen	dZ.E.n.t.l.m.E.n	9	8	154.3922
luck	l.V.k	4	3	153.7255
hair	h.Er	4	2	153.549
drive	d.r0.aI.v	5	4	153.1373
promise	p.r0.A.m.I.s	7	6	153.1176
sex	s.E.k.s	3	4	152.1765
music	m.j.u.s.I.k	5	6	151.6471
power	p.aU.56	5	3	149.0196
sort	s.or.t	4	3	148.7059
special	s.p.E.S.l	7	5	148.5686
serious	s.ir.r0.I.j.5.s	7	7	148.3529
street	s.t.r0.i.t	6	5	148.1765
red	r0.E.d	3	3	148.0588
dance	d.1.n.s	5	4	148.0392
hang	h.1.N	4	3	147.7451
touch	t.V.tS	5	3	147.7255
team	t.i.m	4	3	147.6078
playing	p.l.eI.I.N	7	5	147.3529
company	k.V.m.p.5.n.i	7	7	147.1961
George	dZ.or.dZ	6	3	146.549
pull	p.U.l	4	3	146.451
plan	p.l.1.n	4	4	145.7255
sweet	s.w.i.t	5	4	145.1961
ten	t.E.n	3	3	145
coffee	k.O.f.i	6	4	144.5294
lucky	l.V.k.i	5	4	143.451
sound	s.aU.n.d	5	4	143.3922
safe	s.eI.f	4	3	143.1961
date	d.eI.t	4	3	141.5294
leaving	l.i.v.I.N	7	5	141.3922
parents	p.Er.r0.5.n.t.s	7	7	140.7255
President	p.r0.E.z.I.d.5.n.t	9	9	140.6667
himself	h.I.m.s.E.l.f	7	7	140.549
seem	s.i.m	4	3	139.8235
lives	l.aI.v.z	5	4	139.6863
air	Er	3	1	139.0196
taken	t.eI.k.5.n	5	5	138.6471
York	j.or.k	4	3	138.6078
picture	p.I.k.tS.56	7	5	138.451
ladies	l.eI.d.I.z	6	5	138.3137
Lord	l.or.d	4	3	138.1569
sent	s.E.n.t	4	4	138
fast	f.1.s.t	4	4	137.451
happens	h.1.p.5.n.z	7	6	137.1765
Perhaps	p.56.h.1.p.s	7	6	136.0588
catch	k.1.tS	5	3	135.5098
ride	r0.aI.d	4	3	135.3725
win	w.I.n	3	3	134.6471
kidding	k.I.d.I.N	7	5	133.7647
top	t.A.p	3	3	133.4314
scared	s.k.Er.d	6	4	133.3922
dream	d.r0.i.m	5	4	133.2941
sign	s.aI.n	4	3	133.2745
meeting	m.i.t.I.N	7	5	132.3922
sense	s.E.n.s	5	4	131.8039
beat	b.i.t	4	3	131.6863
control	k.A.n.t.r0.oU.l	7	7	130.6275
drop	d.r0.A.p	4	4	130.6078
cold	k.oU.l.d	4	4	130.1569
weeks	w.i.k.s	5	4	130.1373
darling	d.Ar.l.I.N	7	5	129.6667
figure	f.I.g.j.56	6	5	129.3725
king	k.I.N	4	3	129.2549
poor	p.Ur	4	2	129.0784
throw	T.r0.oU	5	3	128.8235
asking	1.s.k.I.N	6	5	128.3529
Joe	dZ.oU	3	2	128.0784
write	r0.aI.t	5	3	126.8039
cannot	k.1.n.A.t	6	5	126.7647
suppose	s.V.p.oU.z	7	5	125.8039
small	s.m.O.l	5	4	124.9608
human	h.j.u.m.5.n	5	6	124.7647
piece	p.i.s	5	3	124.4902
boss	b.O.s	4	3	124.2941
hospital	h.A.s.p.I.t.l	8	7	124.1961
Uncle	V.N.k.l	5	4	124.0588
past	p.1.s.t	4	4	123.7647
calling	k.O.l.I.N	7	5	123.7451
known	n.oU.n	5	3	123.5294
follow	f.A.l.oU	6	4	123.1961
Sam	s.1.m	3	3	123.1569
movie	m.u.v.i	5	4	122.9608
ha	h.A	2	2	122.7451
straight	s.t.r0.eI.t	8	5	122.4314
Christmas	k.r0.I.s.m.5.s	9	7	122.4314
words	w.36.d.z	5	4	122.0196
clean	k.l.i.n	5	4	121.2353
kiss	k.I.s	4	3	121.1569
looked	l.U.k.t	6	4	120.902
feet	f.i.t	4	3	120.7255
evening	i.v.n.I.N	7	5	120.6863
million	m.I.l.ir.n	7	5	120.4902
lie	l.aI	3	2	120.2549
felt	f.E.l.t	4	4	119.8235
moving	m.u.v.I.N	6	5	119.6863
certainly	s.36.t.5.n.l.i	9	7	118.9608
step	s.t.E.p	4	4	118.6667
learn	l.36.n	5	3	118.5686
fall	f.O.l	4	3	118.5098
Bill	b.I.l	4	3	118.451
questions	k.w.E.s.tS.5.n.z	9	8	117.9608
finally	f.aI.n.l.l.i	7	6	117.4314
takes	t.eI.k.s	5	4	117.3725
class	k.l.1.s	5	4	117.3529
quiet	k.w.aI.5.t	5	5	117.2157
wonder	w.V.n.d.56	6	5	116.9804
Goodbye	g.U.d.b.aI	7	5	116.5098
law	l.O	3	2	116.3137
become	b.I.k.V.m	6	5	115.5686
General	dZ.E.n.56.r0.l	7	6	115.3922
worked	w.36.k.t	6	4	115.2353
rather	r0.1.D.56	6	4	114.2157
possible	p.A.s.5.b.l	8	6	114.0392
goddamn	g.A.d.1.m	7	5	114.0196
unless	V.n.l.E.s	6	5	113.6863
mad	m.1.d	3	3	113.4118
absolutely	1.b.s.5.l.u.t.l.i	10	9	113.1176
tired	t.aI.56.d	5	4	112.6471
murder	m.36.d.56	6	4	112.098
road	r0.oU.d	4	3	111.9412
Mike	m.aI.k	4	3	111.902
eye	aI	3	1	111.7843
except	E.k.s.E.p.t	6	6	111.6863
somewhere	s.V.m.w.Er	9	5	111.5294
explain	E.k.s.p.l.eI.n	7	7	111.1765
Charlie	tS.Ar.l.i	7	4	111.1373
less	l.E.s	4	3	111.098
none	n.V.n	4	3	110.6078
loved	l.V.v.d	5	4	110.3333
giving	g.I.v.I.N	6	5	110.0588
seeing	s.i.j.I.N	6	5	109.6275
Tom	t.A.m	3	3	109.5686
secret	s.i.k.r0.5.t	6	6	109.5098
wear	w.Er	4	2	109.3333
worth	w.36.T	5	3	109.1961
act	1.k.t	3	3	109.1176
careful	k.Er.f.l	7	4	108.8235
quick	k.w.I.k	5	4	108.6667
handle	h.1.n.d.l	6	5	108.4118
pass	p.1.s	4	3	108.1176
early	36.l.i	5	3	108.0392
report	r0.I0.p.or.t	6	5	108
state	s.t.eI.t	5	4	107.8431
busy	b.I.z.i	4	4	106.5294
turned	t.36.n.d	6	4	105.6471
table	t.eI.b.l	5	4	105.6275
wake	w.eI.k	4	3	105.2157
works	w.36.k.s	5	4	105.0392
broke	b.r0.oU.k	5	4	105
ball	b.O.l	4	3	104.9608
Major	m.eI.dZ.56	5	4	104.7647
seven	s.E.v.5.n	5	5	104.451
mouth	m.aU.T	5	3	104.4118
marry	m.1.r0.i	5	4	104.3529
meant	m.E.n.t	5	4	104.2353
fault	f.A.l.t	5	4	104.1176
lunch	l.V.n.tS	5	4	104.1176
