line,tmin,tier,text,word,sound,lang_pre,lang_post,type,presence,tmax,duration,duration_ms,file_name,pair,prompt,speaker
1,9.620477,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,9.713714,0.09323700000000024,93.23700000000024,e03_a00_s1,e03,a00,s1
2,9.713714,e03_s1_seg,so-eng_o_eng_eng,so-eng,o,eng,eng,NA,1,9.751531,0.037817000000000434,37.817000000000434,e03_a00_s1,e03,a00,s1
3,39.009833,e03_s1_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,39.047504000000004,0.03767100000000312,37.67100000000312,e03_a00_s1,e03,a00,s1
4,39.047504000000004,e03_s1_seg,yeah_eah_eng_eng,yeah,eah,eng,eng,NA,1,39.163491,0.11598699999999695,115.98699999999695,e03_a00_s1,e03,a00,s1
5,42.044482,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,42.216037,0.1715549999999979,171.5549999999979,e03_a00_s1,e03,a00,s1
6,42.216037,e03_s1_seg,so-eng_o_eng_eng,so-eng,o,eng,eng,NA,1,42.345567,0.1295300000000026,129.5300000000026,e03_a00_s1,e03,a00,s1
7,42.482451,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,42.596219,0.11376800000000031,113.76800000000031,e03_a00_s1,e03,a00,s1
8,42.596219,e03_s1_seg,so-eng_o_eng_eng,so-eng,o,eng,eng,NA,1,42.630804,0.034584999999999866,34.584999999999866,e03_a00_s1,e03,a00,s1
9,53.054978,e03_s1_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,53.087798,0.03282000000000096,32.82000000000096,e03_a00_s1,e03,a00,s1
10,53.087798,e03_s1_seg,like_i_eng_eng_d,like,i,eng,eng,d,1,53.185906,0.09810800000000341,98.10800000000341,e03_a00_s1,e03,a00,s1
11,53.185906,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,53.238048,0.05214199999999636,52.14199999999636,e03_a00_s1,e03,a00,s1
12,53.238048,e03_s1_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,53.242356,0.004308000000001755,4.308000000001755,e03_a00_s1,e03,a00,s1
13,53.242356,e03_s1_seg,like_k-release_eng_eng_d_0,like,k-release,eng,eng,d,0,53.24942,0.007063999999999737,7.063999999999737,e03_a00_s1,e03,a00,s1
14,125.145426,e03_s1_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,125.185763,0.04033699999999385,40.33699999999385,e03_a00_s1,e03,a00,s1
15,125.185763,e03_s1_seg,yeah_eah_eng_eng,yeah,eah,eng,eng,NA,1,125.357931,0.1721679999999992,172.1679999999992,e03_a00_s1,e03,a00,s1
16,140.939631,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,141.001382,0.06175100000001521,61.75100000001521,e03_a00_s1,e03,a00,s1
17,141.001382,e03_s1_seg,so-eng_o_eng_eng,so-eng,o,eng,eng,NA,1,141.068804,0.06742199999999343,67.42199999999343,e03_a00_s1,e03,a00,s1
18,158.742913,e03_s1_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,158.778735,0.035822000000024445,35.822000000024445,e03_a00_s1,e03,a00,s1
19,158.778735,e03_s1_seg,like_i_eng_eng_d,like,i,eng,eng,d,1,158.863659,0.08492400000000089,84.92400000000089,e03_a00_s1,e03,a00,s1
20,158.863659,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,158.938979,0.07531999999997652,75.31999999997652,e03_a00_s1,e03,a00,s1
21,158.938979,e03_s1_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,158.968804,0.029825000000016644,29.825000000016644,e03_a00_s1,e03,a00,s1
22,158.968804,e03_s1_seg,like_k-release_eng_eng_d,like,k-release,eng,eng,d,1,159.013219,0.04441499999998655,44.41499999998655,e03_a00_s1,e03,a00,s1
23,164.546478,e03_s1_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,164.577316,0.030837999999988597,30.837999999988597,e03_a00_s1,e03,a00,s1
24,164.577316,e03_s1_seg,like_i_eng_eng_d,like,i,eng,eng,d,1,164.652882,0.07556600000000913,75.56600000000913,e03_a00_s1,e03,a00,s1
25,164.652882,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,164.720099,0.06721699999999942,67.21699999999942,e03_a00_s1,e03,a00,s1
26,164.720099,e03_s1_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,164.750576,0.03047699999999054,30.47699999999054,e03_a00_s1,e03,a00,s1
27,164.750576,e03_s1_seg,like_k-release_eng_eng_d_0,like,k-release,eng,eng,d,0,164.769724,0.019148000000001275,19.148000000001275,e03_a00_s1,e03,a00,s1
28,170.096593,e03_s1_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,170.29141,0.19481700000000046,194.81700000000046,e03_a00_s1,e03,a00,s1
29,170.29141,e03_s1_seg,so-jap_o_jap_jap,so-jap,o,jap,jap,NA,1,170.388818,0.09740799999997307,97.40799999997307,e03_a00_s1,e03,a00,s1
30,171.389222,e03_s1_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,171.494992,0.1057700000000068,105.7700000000068,e03_a00_s1,e03,a00,s1
31,171.494992,e03_s1_seg,so-jap_o_jap_jap,so-jap,o,jap,jap,NA,1,171.557826,0.06283400000000938,62.83400000000938,e03_a00_s1,e03,a00,s1
32,177.04309,e03_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,177.122683,0.07959299999998848,79.59299999998848,e03_a00_s1,e03,a00,s1
33,177.122683,e03_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,177.141996,0.019313000000011016,19.313000000011016,e03_a00_s1,e03,a00,s1
34,177.141996,e03_s1_seg,nanka_ka_jap_jap,nanka,ka,jap,jap,NA,1,177.209884,0.06788799999998218,67.88799999998218,e03_a00_s1,e03,a00,s1
35,189.115476,e03_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,189.235974,0.12049799999999777,120.49799999999777,e03_a00_s1,e03,a00,s1
36,189.235974,e03_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,189.260859,0.024885000000011814,24.885000000011814,e03_a00_s1,e03,a00,s1
37,189.260859,e03_s1_seg,nanka_ka_jap_jap,nanka,ka,jap,jap,NA,1,189.350577,0.08971799999997643,89.71799999997643,e03_a00_s1,e03,a00,s1
38,192.863066,e03_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,192.924529,0.061463000000003376,61.463000000003376,e03_a00_s1,e03,a00,s1
39,192.924529,e03_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,192.963002,0.038472999999981994,38.472999999981994,e03_a00_s1,e03,a00,s1
40,192.963002,e03_s1_seg,nanka_ka_jap_jap,nanka,ka,jap,jap,NA,1,193.121585,0.15858300000002146,158.58300000002146,e03_a00_s1,e03,a00,s1
41,194.880942,e03_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,194.956055,0.07511299999998755,75.11299999998755,e03_a00_s1,e03,a00,s1
42,194.956055,e03_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,194.999541,0.04348600000000147,43.48600000000147,e03_a00_s1,e03,a00,s1
43,194.999541,e03_s1_seg,nanka_ka_jap_jap,nanka,ka,jap,jap,NA,1,195.063584,0.06404299999999807,64.04299999999807,e03_a00_s1,e03,a00,s1
44,212.926815,e03_s1_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,212.966464,0.03964899999999716,39.64899999999716,e03_a00_s1,e03,a00,s1
45,212.966464,e03_s1_seg,like_i_eng_eng_d,like,i,eng,eng,d,1,213.028135,0.06167099999998982,61.67099999998982,e03_a00_s1,e03,a00,s1
46,213.028135,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,213.20614,0.17800500000001307,178.00500000001307,e03_a00_s1,e03,a00,s1
47,213.20614,e03_s1_seg,like_k-burst_eng_eng_d_0,like,k-burst,eng,eng,d,0,213.229967,0.023826999999982945,23.826999999982945,e03_a00_s1,e03,a00,s1
48,213.229967,e03_s1_seg,like_k-release_eng_eng_d_0,like,k-release,eng,eng,d,0,213.25195,0.02198300000000586,21.98300000000586,e03_a00_s1,e03,a00,s1
49,213.550944,e03_s1_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,213.58341,0.03246599999999944,32.46599999999944,e03_a00_s1,e03,a00,s1
50,213.58341,e03_s1_seg,yeah_eah_eng_eng,yeah,eah,eng,eng,NA,1,213.697532,0.11412200000000894,114.12200000000894,e03_a00_s1,e03,a00,s1
51,230.779218,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,230.913905,0.13468700000001377,134.68700000001377,e03_a00_s1,e03,a00,s1
52,230.913905,e03_s1_seg,so-eng_o_eng_eng,so-eng,o,eng,eng,NA,1,231.072871,0.1589659999999924,158.9659999999924,e03_a00_s1,e03,a00,s1
53,232.460867,e03_s1_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,232.505138,0.04427099999998063,44.27099999998063,e03_a00_s1,e03,a00,s1
54,232.505138,e03_s1_seg,yeah_eah_eng_eng,yeah,eah,eng,eng,NA,1,232.60352,0.09838200000001507,98.38200000001507,e03_a00_s1,e03,a00,s1
55,234.54924,e03_s1_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,234.57517000000001,0.025930000000016662,25.930000000016662,e03_a00_s1,e03,a00,s1
56,234.57517000000001,e03_s1_seg,like_i_eng_eng_d,like,i,eng,eng,d,1,234.622124,0.046953999999999496,46.953999999999496,e03_a00_s1,e03,a00,s1
57,234.622124,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,234.666975,0.0448509999999942,44.8509999999942,e03_a00_s1,e03,a00,s1
58,234.666975,e03_s1_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,234.670337,0.0033619999999814354,3.3619999999814354,e03_a00_s1,e03,a00,s1
59,234.670337,e03_s1_seg,like_k-release_eng_eng_d_0,like,k-release,eng,eng,d,0,234.678889,0.008552000000008775,8.552000000008775,e03_a00_s1,e03,a00,s1
