line,tmin,tier,text,word,sound,lang_pre,lang_post,type,presence,tmax,duration,duration_ms,file_name,pair,prompt,speaker,time,f1,f2,f3,gender
1,60.911253,e00_s1_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,60.946788,0.035534999999995875,35.534999999995875,e00_a00_s1,e00,a00,s1,0.001,1542.288,2287.406,3361.68,female
1,60.911253,e00_s1_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,60.946788,0.035534999999995875,35.534999999995875,e00_a00_s1,e00,a00,s1,0.002,730.814,1487.087,2287.897,female
1,60.911253,e00_s1_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,60.946788,0.035534999999995875,35.534999999995875,e00_a00_s1,e00,a00,s1,0.003,579.799,1718.346,2470.729,female
1,60.911253,e00_s1_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,60.946788,0.035534999999995875,35.534999999995875,e00_a00_s1,e00,a00,s1,0.004,511.707,1808.359,2499.603,female
1,60.911253,e00_s1_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,60.946788,0.035534999999995875,35.534999999995875,e00_a00_s1,e00,a00,s1,0.005,853.665,1614.721,2382.669,female
1,60.911253,e00_s1_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,60.946788,0.035534999999995875,35.534999999995875,e00_a00_s1,e00,a00,s1,0.006,1329.676,2072.256,2939.774,female
1,60.911253,e00_s1_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,60.946788,0.035534999999995875,35.534999999995875,e00_a00_s1,e00,a00,s1,0.007,698.707,1415.532,2166.315,female
1,60.911253,e00_s1_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,60.946788,0.035534999999995875,35.534999999995875,e00_a00_s1,e00,a00,s1,0.008,526.09,1501.882,2275.726,female
1,60.911253,e00_s1_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,60.946788,0.035534999999995875,35.534999999995875,e00_a00_s1,e00,a00,s1,0.009,631.457,1892.877,3353.818,female
1,60.911253,e00_s1_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,60.946788,0.035534999999995875,35.534999999995875,e00_a00_s1,e00,a00,s1,0.01,845.832,1647.455,2397.643,female
