line,tmin,tier,text,word,sound,lang_pre,lang_post,type,presence,tmax,duration,duration_ms,file_name,pair,prompt,speaker,time,f1,f2,f3,gender
1,1.343606,e07_s1_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,1.522883,0.1792769999999999,179.2769999999999,e07_a00_s1,e07,a00,s1,0.001,345.949,1027.613,1742.325,male
1,1.343606,e07_s1_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,1.522883,0.1792769999999999,179.2769999999999,e07_a00_s1,e07,a00,s1,0.002,722.695,1375.62,2708.004,male
1,1.343606,e07_s1_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,1.522883,0.1792769999999999,179.2769999999999,e07_a00_s1,e07,a00,s1,0.003,645.504,1269.902,2237.682,male
1,1.343606,e07_s1_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,1.522883,0.1792769999999999,179.2769999999999,e07_a00_s1,e07,a00,s1,0.004,767.676,1474.346,2301.169,male
1,1.343606,e07_s1_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,1.522883,0.1792769999999999,179.2769999999999,e07_a00_s1,e07,a00,s1,0.005,621.641,1139.507,1739.747,male
1,1.343606,e07_s1_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,1.522883,0.1792769999999999,179.2769999999999,e07_a00_s1,e07,a00,s1,0.006,631.61,1241.145,2547.409,male
1,1.343606,e07_s1_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,1.522883,0.1792769999999999,179.2769999999999,e07_a00_s1,e07,a00,s1,0.007,686.974,1212.51,1932.994,male
1,1.343606,e07_s1_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,1.522883,0.1792769999999999,179.2769999999999,e07_a00_s1,e07,a00,s1,0.008,740.79,1132.758,1858.701,male
1,1.343606,e07_s1_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,1.522883,0.1792769999999999,179.2769999999999,e07_a00_s1,e07,a00,s1,0.009,721.736,1620.831,2450.143,male
1,1.343606,e07_s1_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,1.522883,0.1792769999999999,179.2769999999999,e07_a00_s1,e07,a00,s1,0.01,824.967,1868.02,2714.507,male
1,1.343606,e07_s1_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,1.522883,0.1792769999999999,179.2769999999999,e07_a00_s1,e07,a00,s1,0.011,322.294,918.446,2079.906,male
1,1.343606,e07_s1_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,1.522883,0.1792769999999999,179.2769999999999,e07_a00_s1,e07,a00,s1,0.012,587.963,1958.744,2672.576,male
1,1.343606,e07_s1_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,1.522883,0.1792769999999999,179.2769999999999,e07_a00_s1,e07,a00,s1,0.013,770.393,1544.909,2421.616,male
1,1.343606,e07_s1_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,1.522883,0.1792769999999999,179.2769999999999,e07_a00_s1,e07,a00,s1,0.014,294.821,843.334,1726.014,male
1,1.343606,e07_s1_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,1.522883,0.1792769999999999,179.2769999999999,e07_a00_s1,e07,a00,s1,0.015,259.11,641.915,2090.942,male
