line,tmin,tier,text,word,sound,lang_pre,lang_post,type,presence,tmax,duration,duration_ms,file_name,pair,prompt,speaker
1,18.997619,e03_s1_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,19.027791,0.03017200000000031,30.17200000000031,e03_b00_s1,e03,b00,s1
2,19.027791,e03_s1_seg,like_i_eng_eng_d,like,i,eng,eng,d,1,19.133767,0.1059759999999983,105.9759999999983,e03_b00_s1,e03,b00,s1
3,19.133767,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,19.217579,0.08381200000000177,83.81200000000177,e03_b00_s1,e03,b00,s1
4,19.217579,e03_s1_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,19.346558,0.12897900000000107,128.97900000000107,e03_b00_s1,e03,b00,s1
5,19.346558,e03_s1_seg,like_k-release_eng_eng_d,like,k-release,eng,eng,d,1,19.535196,0.18863799999999742,188.63799999999742,e03_b00_s1,e03,b00,s1
6,22.628344,e03_s1_seg,like_l_eng_eng_v,like,l,eng,eng,v,1,22.654915,0.026571000000000566,26.571000000000566,e03_b00_s1,e03,b00,s1
7,22.654915,e03_s1_seg,like_i_eng_eng_v,like,i,eng,eng,v,1,22.787768,0.13285300000000078,132.85300000000078,e03_b00_s1,e03,b00,s1
8,22.787768,e03_s1_seg,like_k-closure_eng_eng_v,like,k-closure,eng,eng,v,1,22.865278,0.07751000000000019,77.51000000000019,e03_b00_s1,e03,b00,s1
9,22.865278,e03_s1_seg,like_k-burst_eng_eng_v,like,k-burst,eng,eng,v,1,22.868682,0.0034039999999997406,3.4039999999997406,e03_b00_s1,e03,b00,s1
10,22.868682,e03_s1_seg,like_k-release_eng_eng_v_0,like,k-release,eng,eng,v,0,22.885698,0.017016000000001696,17.016000000001696,e03_b00_s1,e03,b00,s1
11,32.058305,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,32.193127,0.13482199999999978,134.82199999999978,e03_b00_s1,e03,b00,s1
12,32.193127,e03_s1_seg,so-eng_o_eng_eng,so-eng,o,eng,eng,NA,1,32.324328,0.13120100000000434,131.20100000000434,e03_b00_s1,e03,b00,s1
13,57.130063,e03_s1_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,57.143299,0.013235999999999137,13.235999999999137,e03_b00_s1,e03,b00,s1
14,57.143299,e03_s1_seg,like_i_eng_eng_d,like,i,eng,eng,d,1,57.232785,0.08948600000000084,89.48600000000084,e03_b00_s1,e03,b00,s1
15,57.232785,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,57.32017,0.0873849999999976,87.3849999999976,e03_b00_s1,e03,b00,s1
16,57.32017,e03_s1_seg,like_k-burst_eng_eng_d_0,like,k-burst,eng,eng,d,0,57.324608,0.004438000000000386,4.438000000000386,e03_b00_s1,e03,b00,s1
17,57.324608,e03_s1_seg,like_k-release_eng_eng_d_0,like,k-release,eng,eng,d,0,57.327144,0.0025359999999992056,2.5359999999992056,e03_b00_s1,e03,b00,s1
18,59.761662,e03_s1_seg,like_l_eng_eng_v,like,l,eng,eng,v,1,59.809707,0.04804500000000189,48.04500000000189,e03_b00_s1,e03,b00,s1
19,59.809707,e03_s1_seg,like_i_eng_eng_v,like,i,eng,eng,v,1,59.887872,0.07816499999999849,78.16499999999849,e03_b00_s1,e03,b00,s1
20,59.887872,e03_s1_seg,like_k-closure_eng_eng_v,like,k-closure,eng,eng,v,1,59.977826,0.08995399999999876,89.95399999999876,e03_b00_s1,e03,b00,s1
21,59.977826,e03_s1_seg,like_k-burst_eng_eng_v,like,k-burst,eng,eng,v,1,60.060432,0.0826059999999984,82.6059999999984,e03_b00_s1,e03,b00,s1
22,60.060432,e03_s1_seg,like_k-release_eng_eng_v_0,like,k-release,eng,eng,v,0,60.092162,0.031730000000003145,31.730000000003145,e03_b00_s1,e03,b00,s1
23,70.862637,e03_s1_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,70.944281,0.08164399999999716,81.64399999999716,e03_b00_s1,e03,b00,s1
24,70.944281,e03_s1_seg,yeah_eah_eng_eng,yeah,eah,eng,eng,NA,1,71.061811,0.11753000000000213,117.53000000000213,e03_b00_s1,e03,b00,s1
25,72.804631,e03_s1_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,72.861565,0.056933999999998264,56.933999999998264,e03_b00_s1,e03,b00,s1
26,72.861565,e03_s1_seg,yeah_eah_eng_eng,yeah,eah,eng,eng,NA,1,73.002225,0.1406599999999969,140.6599999999969,e03_b00_s1,e03,b00,s1
27,73.002225,e03_s1_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,73.034104,0.03187900000000354,31.879000000003543,e03_b00_s1,e03,b00,s1
28,73.034104,e03_s1_seg,yeah_eah_eng_eng,yeah,eah,eng,eng,NA,1,73.164066,0.12996200000000613,129.96200000000613,e03_b00_s1,e03,b00,s1
29,80.831296,e03_s1_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,81.01147,0.18017400000000805,180.17400000000805,e03_b00_s1,e03,b00,s1
30,81.01147,e03_s1_seg,so-jap_o_jap_jap,so-jap,o,jap,jap,NA,1,81.064431,0.05296099999999626,52.96099999999626,e03_b00_s1,e03,b00,s1
31,92.409651,e03_s1_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,92.450867,0.04121600000000569,41.21600000000569,e03_b00_s1,e03,b00,s1
32,92.450867,e03_s1_seg,like_i_eng_eng_d,like,i,eng,eng,d,1,92.529661,0.07879400000000203,78.79400000000203,e03_b00_s1,e03,b00,s1
33,92.529661,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,92.583449,0.05378799999999728,53.78799999999728,e03_b00_s1,e03,b00,s1
34,92.583449,e03_s1_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,92.597926,0.014476999999999407,14.476999999999407,e03_b00_s1,e03,b00,s1
35,92.597926,e03_s1_seg,like_k-release_eng_eng_d_0,like,k-release,eng,eng,d,0,92.633987,0.03606100000000367,36.06100000000367,e03_b00_s1,e03,b00,s1
36,94.271183,e03_s1_seg,like_l_eng_eng_d_0,like,l,eng,eng,d,0,94.309448,0.03826500000000976,38.26500000000976,e03_b00_s1,e03,b00,s1
37,94.309448,e03_s1_seg,like_i_eng_eng_d,like,i,eng,eng,d,1,94.420537,0.11108899999999267,111.08899999999267,e03_b00_s1,e03,b00,s1
38,94.420537,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,94.525044,0.10450699999999813,104.50699999999813,e03_b00_s1,e03,b00,s1
39,94.525044,e03_s1_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,94.553022,0.0279780000000045,27.9780000000045,e03_b00_s1,e03,b00,s1
40,94.553022,e03_s1_seg,like_k-release_eng_eng_d,like,k-release,eng,eng,d,1,94.604041,0.051018999999996595,51.018999999996595,e03_b00_s1,e03,b00,s1
41,104.545692,e03_s1_seg,like_l_eng_eng_d_0,like,l,eng,eng,d,0,104.583383,0.037690999999995256,37.690999999995256,e03_b00_s1,e03,b00,s1
42,104.583383,e03_s1_seg,like_i_eng_eng_d,like,i,eng,eng,d,1,104.677354,0.09397099999999625,93.97099999999625,e03_b00_s1,e03,b00,s1
43,104.677354,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,104.754515,0.07716100000000381,77.16100000000381,e03_b00_s1,e03,b00,s1
44,104.754515,e03_s1_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,104.783255,0.0287399999999991,28.7399999999991,e03_b00_s1,e03,b00,s1
45,104.783255,e03_s1_seg,like_k-release_eng_eng_d,like,k-release,eng,eng,d,1,104.918137,0.1348820000000046,134.8820000000046,e03_b00_s1,e03,b00,s1
46,105.370287,e03_s1_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,105.386917,0.01662999999999215,16.62999999999215,e03_b00_s1,e03,b00,s1
47,105.386917,e03_s1_seg,like_i_eng_eng_d,like,i,eng,eng,d,1,105.469863,0.08294600000000685,82.94600000000685,e03_b00_s1,e03,b00,s1
48,105.469863,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,105.57084,0.10097700000000032,100.97700000000032,e03_b00_s1,e03,b00,s1
49,105.57084,e03_s1_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,105.575248,0.004407999999997969,4.407999999997969,e03_b00_s1,e03,b00,s1
50,105.575248,e03_s1_seg,like_k-release_eng_eng_d_0,like,k-release,eng,eng,d,0,105.583889,0.008640999999997234,8.640999999997234,e03_b00_s1,e03,b00,s1
51,109.372959,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,109.556076,0.18311700000000997,183.11700000000997,e03_b00_s1,e03,b00,s1
52,109.556076,e03_s1_seg,so-eng_o_eng_eng,so-eng,o,eng,eng,NA,1,109.641396,0.08531999999999584,85.31999999999584,e03_b00_s1,e03,b00,s1
53,109.677571,e03_s1_seg,like_l_eng_jap_d,like,l,eng,jap,d,1,109.695248,0.01767700000000616,17.67700000000616,e03_b00_s1,e03,b00,s1
54,109.695248,e03_s1_seg,like_i_eng_jap_d,like,i,eng,jap,d,1,109.792837,0.09758899999999926,97.58899999999926,e03_b00_s1,e03,b00,s1
55,109.792837,e03_s1_seg,like_k-closure_eng_jap_d,like,k-closure,eng,jap,d,1,109.832904,0.04006699999999341,40.06699999999341,e03_b00_s1,e03,b00,s1
56,109.832904,e03_s1_seg,like_k-burst_eng_jap_d,like,k-burst,eng,jap,d,1,109.836734,0.0038300000000077716,3.8300000000077716,e03_b00_s1,e03,b00,s1
57,109.836734,e03_s1_seg,like_k-release_eng_jap_d_0,like,k-release,eng,jap,d,0,109.847635,0.010900999999989835,10.900999999989835,e03_b00_s1,e03,b00,s1
58,132.064149,e03_s1_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,132.202967,0.13881800000001476,138.81800000001476,e03_b00_s1,e03,b00,s1
59,132.202967,e03_s1_seg,so-jap_o_jap_jap,so-jap,o,jap,jap,NA,1,132.274837,0.07186999999998989,71.86999999998989,e03_b00_s1,e03,b00,s1
60,132.274837,e03_s1_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,132.361549,0.08671200000000567,86.71200000000567,e03_b00_s1,e03,b00,s1
61,132.361549,e03_s1_seg,so-jap_o_jap_jap,so-jap,o,jap,jap,NA,1,132.425723,0.06417400000000839,64.17400000000839,e03_b00_s1,e03,b00,s1
62,132.425723,e03_s1_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,132.546016,0.12029300000000376,120.29300000000376,e03_b00_s1,e03,b00,s1
63,132.546016,e03_s1_seg,so-jap_o_jap_jap,so-jap,o,jap,jap,NA,1,132.633308,0.08729199999999082,87.29199999999082,e03_b00_s1,e03,b00,s1
64,134.239837,e03_s1_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,134.347331,0.10749400000000264,107.49400000000264,e03_b00_s1,e03,b00,s1
65,134.347331,e03_s1_seg,so-jap_o_jap_jap,so-jap,o,jap,jap,NA,1,134.470448,0.12311700000000769,123.11700000000769,e03_b00_s1,e03,b00,s1
66,134.470448,e03_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,134.601543,0.13109499999998775,131.09499999998775,e03_b00_s1,e03,b00,s1
67,134.601543,e03_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,134.698997,0.09745399999999904,97.45399999999904,e03_b00_s1,e03,b00,s1
68,134.698997,e03_s1_seg,nanka_ka_jap_jap,nanka,ka,jap,jap,NA,1,134.850778,0.15178099999999972,151.78099999999972,e03_b00_s1,e03,b00,s1
69,140.812095,e03_s1_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,140.948027,0.13593199999999683,135.93199999999683,e03_b00_s1,e03,b00,s1
70,140.948027,e03_s1_seg,so-jap_o_jap_jap,so-jap,o,jap,jap,NA,1,141.114708,0.16668100000001118,166.68100000001118,e03_b00_s1,e03,b00,s1
71,141.141964,e03_s1_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,141.263918,0.12195399999998813,121.95399999998813,e03_b00_s1,e03,b00,s1
72,141.263918,e03_s1_seg,so-jap_o_jap_jap,so-jap,o,jap,jap,NA,1,141.336077,0.0721589999999992,72.1589999999992,e03_b00_s1,e03,b00,s1
73,142.871556,e03_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,143.006882,0.13532599999999206,135.32599999999206,e03_b00_s1,e03,b00,s1
74,143.006882,e03_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,143.044785,0.03790300000000002,37.90300000000002,e03_b00_s1,e03,b00,s1
75,143.044785,e03_s1_seg,nanka_ka_jap_jap,nanka,ka,jap,jap,NA,1,143.184776,0.13999100000000908,139.99100000000908,e03_b00_s1,e03,b00,s1
76,157.048691,e03_s1_seg,yeah_eah_eng_eng,yeah,eah,eng,eng,NA,1,157.098473,0.04978200000002175,49.78200000002175,e03_b00_s1,e03,b00,s1
77,157.098473,e03_s1_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,157.176205,0.07773199999999747,77.73199999999747,e03_b00_s1,e03,b00,s1
78,170.292282,e03_s1_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,170.306718,0.014435999999989235,14.435999999989235,e03_b00_s1,e03,b00,s1
79,170.306718,e03_s1_seg,like_i_eng_eng_d,like,i,eng,eng,d,1,170.38803,0.08131199999999694,81.31199999999694,e03_b00_s1,e03,b00,s1
