line,tmin,tier,text,word,sound,lang_pre,lang_post,type,presence,tmax,duration,duration_ms,file_name,pair,prompt,speaker
1,6.158329,e01_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,6.242548,0.08421900000000004,84.21900000000005,e01_a00_s2,e01,a00,s2
2,6.242548,e01_s2_seg,yeah_eah_eng_eng,yeah,eah,eng,eng,NA,1,6.471692,0.2291439999999998,229.14399999999978,e01_a00_s2,e01,a00,s2
3,7.128339,e01_s2_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,7.309561,0.181222,181.22199999999998,e01_a00_s2,e01,a00,s2
4,7.309561,e01_s2_seg,so-eng_o_eng_eng,so-eng,o,eng,eng,NA,1,7.628779,0.31921799999999934,319.21799999999934,e01_a00_s2,e01,a00,s2
5,10.501144,e01_s2_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,10.642853,0.14170900000000053,141.70900000000051,e01_a00_s2,e01,a00,s2
6,10.642853,e01_s2_seg,so-eng_o_eng_eng,so-eng,o,eng,eng,NA,1,10.847462,0.2046089999999996,204.60899999999958,e01_a00_s2,e01,a00,s2
7,15.040259,e01_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,15.081274,0.0410149999999998,41.0149999999998,e01_a00_s2,e01,a00,s2
8,15.081274,e01_s2_seg,yeah_eah_eng_eng,yeah,eah,eng,eng,NA,1,15.533772,0.4524980000000003,452.4980000000003,e01_a00_s2,e01,a00,s2
9,98.115336,e01_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,98.17769,0.06235399999999913,62.35399999999913,e01_a00_s2,e01,a00,s2
10,98.17769,e01_s2_seg,yeah_eah_eng_eng,yeah,eah,eng,eng,NA,1,98.467848,0.29015800000000525,290.15800000000525,e01_a00_s2,e01,a00,s2
11,110.847931,e01_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,110.880421,0.03248999999999569,32.48999999999569,e01_a00_s2,e01,a00,s2
12,110.880421,e01_s2_seg,yeah_eah_eng_eng,yeah,eah,eng,eng,NA,1,111.057186,0.17676500000000317,176.76500000000317,e01_a00_s2,e01,a00,s2
13,147.506524,e01_s2_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,147.527352,0.020827999999994518,20.827999999994518,e01_a00_s2,e01,a00,s2
14,147.527352,e01_s2_seg,like_i_eng_eng_d,like,i,eng,eng,d,1,147.580732,0.0533800000000042,53.3800000000042,e01_a00_s2,e01,a00,s2
15,147.580732,e01_s2_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,147.653466,0.07273399999999697,72.73399999999697,e01_a00_s2,e01,a00,s2
16,147.653466,e01_s2_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,147.661422,0.007955999999978758,7.955999999978758,e01_a00_s2,e01,a00,s2
17,147.661422,e01_s2_seg,like_k-release_eng_eng_d_0,like,k-release,eng,eng,d,0,147.667104,0.005682000000007292,5.682000000007292,e01_a00_s2,e01,a00,s2
18,149.785978,e01_s2_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,149.841979,0.05600100000000907,56.00100000000907,e01_a00_s2,e01,a00,s2
19,149.841979,e01_s2_seg,like_i_eng_eng_d,like,i,eng,eng,d,1,149.950351,0.1083720000000028,108.3720000000028,e01_a00_s2,e01,a00,s2
20,149.950351,e01_s2_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,150.021908,0.07155699999998433,71.55699999998433,e01_a00_s2,e01,a00,s2
21,150.021908,e01_s2_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,150.047316,0.025407999999998765,25.407999999998765,e01_a00_s2,e01,a00,s2
22,150.047316,e01_s2_seg,like_k-release_eng_eng_d_0,like,k-release,eng,eng,d,0,150.054682,0.0073660000000188575,7.3660000000188575,e01_a00_s2,e01,a00,s2
23,187.5656,e01_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,187.597539,0.03193900000002259,31.939000000022588,e01_a00_s2,e01,a00,s2
24,187.597539,e01_s2_seg,yeah_eah_eng_eng,yeah,eah,eng,eng,NA,1,187.813952,0.21641299999998864,216.41299999998864,e01_a00_s2,e01,a00,s2
25,189.606112,e01_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,189.676539,0.07042699999999513,70.42699999999513,e01_a00_s2,e01,a00,s2
26,189.676539,e01_s2_seg,yeah_eah_eng_eng,yeah,eah,eng,eng,NA,1,189.800993,0.12445400000001428,124.45400000001428,e01_a00_s2,e01,a00,s2
27,194.364024,e01_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,194.453747,0.08972299999999223,89.72299999999223,e01_a00_s2,e01,a00,s2
28,194.453747,e01_s2_seg,yeah_eah_eng_eng,yeah,eah,eng,eng,NA,1,194.651522,0.19777500000000714,197.77500000000714,e01_a00_s2,e01,a00,s2
29,205.02201,e01_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,205.069283,0.04727300000001833,47.27300000001833,e01_a00_s2,e01,a00,s2
30,205.069283,e01_s2_seg,yeah_eah_eng_eng,yeah,eah,eng,eng,NA,1,205.241974,0.17269099999998616,172.69099999998616,e01_a00_s2,e01,a00,s2
