line,tmin,tier,text,word,sound,lang_pre,lang_post,type,presence,tmax,duration,duration_ms,file_name,pair,prompt,speaker
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1
2,36.218247,e06_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,36.261334,0.043086999999999875,43.086999999999875,e06_a00_s1,e06,a00,s1
3,36.261334,e06_s1_seg,nanka_ka_jap_jap,nanka,ka,jap,jap,NA,1,36.394154,0.13282000000000238,132.82000000000238,e06_a00_s1,e06,a00,s1
4,60.370176,e06_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,60.512418,0.14224199999999598,142.24199999999598,e06_a00_s1,e06,a00,s1
5,60.512418,e06_s1_seg,so-eng_o_eng_eng,so-eng,o,eng,eng,NA,1,60.565741,0.053323000000006004,53.323000000006004,e06_a00_s1,e06,a00,s1
6,64.797284,e06_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,64.907062,0.1097779999999915,109.7779999999915,e06_a00_s1,e06,a00,s1
7,64.907062,e06_s1_seg,so-eng_o_eng_eng,so-eng,o,eng,eng,NA,1,64.96072,0.05365799999999865,53.65799999999865,e06_a00_s1,e06,a00,s1
8,76.353124,e06_s1_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,76.373957,0.020833000000010315,20.833000000010315,e06_a00_s1,e06,a00,s1
9,76.373957,e06_s1_seg,like_i_eng_eng_d,like,i,eng,eng,d,1,76.457094,0.08313699999999358,83.13699999999358,e06_a00_s1,e06,a00,s1
10,76.457094,e06_s1_seg,like_k-closure_eng_eng_d_0,like,k-closure,eng,eng,d,0,76.469546,0.012451999999996133,12.451999999996133,e06_a00_s1,e06,a00,s1
11,76.469546,e06_s1_seg,like_k-burst_eng_eng_d_0,like,k-burst,eng,eng,d,0,76.488343,0.018797000000006392,18.797000000006392,e06_a00_s1,e06,a00,s1
12,76.488343,e06_s1_seg,like_k-release_eng_eng_d_0,like,k-release,eng,eng,d,0,76.504191,0.015848000000005413,15.848000000005413,e06_a00_s1,e06,a00,s1
13,77.627472,e06_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,77.790992,0.16352000000000544,163.52000000000544,e06_a00_s1,e06,a00,s1
14,77.790992,e06_s1_seg,so-eng_o_eng_eng,so-eng,o,eng,eng,NA,1,77.928296,0.13730400000000031,137.30400000000031,e06_a00_s1,e06,a00,s1
15,89.049912,e06_s1_seg,so-jap_s_eng_eng,so-jap,s,eng,eng,NA,1,89.17822,0.12830799999998987,128.30799999998987,e06_a00_s1,e06,a00,s1
16,89.17822,e06_s1_seg,so-jap_o_eng_eng,so-jap,o,eng,eng,NA,1,89.291695,0.11347500000000821,113.47500000000821,e06_a00_s1,e06,a00,s1
17,111.012522,e06_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,111.183986,0.17146400000000028,171.46400000000028,e06_a00_s1,e06,a00,s1
18,111.183986,e06_s1_seg,so-eng_o_eng_eng,so-eng,o,eng,eng,NA,1,111.34246,0.15847399999999823,158.47399999999823,e06_a00_s1,e06,a00,s1
19,120.71532500000001,e06_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,120.806771,0.09144599999999059,91.44599999999059,e06_a00_s1,e06,a00,s1
20,120.806771,e06_s1_seg,so-eng_o_eng_eng,so-eng,o,eng,eng,NA,1,120.941178,0.13440699999999595,134.40699999999595,e06_a00_s1,e06,a00,s1
21,121.030391,e06_s1_seg,like_l_eng_eng_dq,like,l,eng,eng,dq,1,121.045428,0.015037000000006628,15.037000000006628,e06_a00_s1,e06,a00,s1
22,121.045428,e06_s1_seg,like_i_eng_eng_dq,like,i,eng,eng,dq,1,121.191525,0.14609699999999748,146.09699999999748,e06_a00_s1,e06,a00,s1
23,121.191525,e06_s1_seg,like_k-closure_eng_eng_dq,like,k-closure,eng,eng,dq,1,121.311048,0.11952300000000093,119.52300000000093,e06_a00_s1,e06,a00,s1
24,121.311048,e06_s1_seg,like_k-burst_eng_eng_dq_0,like,k-burst,eng,eng,dq,0,121.313876,0.0028279999999938354,2.8279999999938354,e06_a00_s1,e06,a00,s1
25,121.313876,e06_s1_seg,like_k-release_eng_eng_dq_0,like,k-release,eng,eng,dq,0,121.315938,0.002062000000009334,2.062000000009334,e06_a00_s1,e06,a00,s1
26,132.910608,e06_s1_seg,so-jap_s_eng_jap,so-jap,s,eng,jap,NA,1,133.03948,0.1288720000000012,128.8720000000012,e06_a00_s1,e06,a00,s1
27,133.03948,e06_s1_seg,so-jap_o_eng_jap,so-jap,o,eng,jap,NA,1,133.093554,0.054074000000014166,54.074000000014166,e06_a00_s1,e06,a00,s1
