line	tmin	tier	text	tmax
1	9.620477	e03_s1_seg	so-eng_s_eng_eng	9.713714
2	9.713714	e03_s1_seg	so-eng_o_eng_eng	9.751531
3	39.009833	e03_s1_seg	yeah_y_eng_eng	39.047504
4	39.047504	e03_s1_seg	yeah_eah_eng_eng	39.163491
5	42.044482	e03_s1_seg	so-eng_s_eng_eng	42.216037
6	42.216037	e03_s1_seg	so-eng_o_eng_eng	42.345567
7	42.482451	e03_s1_seg	so-eng_s_eng_eng	42.596219
8	42.596219	e03_s1_seg	so-eng_o_eng_eng	42.630804
9	53.054978	e03_s1_seg	like_l_eng_eng_d	53.087798
10	53.087798	e03_s1_seg	like_i_eng_eng_d	53.185906
11	53.185906	e03_s1_seg	like_k-closure_eng_eng_d	53.238048
12	53.238048	e03_s1_seg	like_k-burst_eng_eng_d	53.242356
13	53.242356	e03_s1_seg	like_k-release_eng_eng_d_0	53.249420
14	125.145426	e03_s1_seg	yeah_y_eng_eng	125.185763
15	125.185763	e03_s1_seg	yeah_eah_eng_eng	125.357931
16	140.939631	e03_s1_seg	so-eng_s_eng_eng	141.001382
17	141.001382	e03_s1_seg	so-eng_o_eng_eng	141.068804
18	158.742913	e03_s1_seg	like_l_eng_eng_d	158.778735
19	158.778735	e03_s1_seg	like_i_eng_eng_d	158.863659
20	158.863659	e03_s1_seg	like_k-closure_eng_eng_d	158.938979
21	158.938979	e03_s1_seg	like_k-burst_eng_eng_d	158.968804
22	158.968804	e03_s1_seg	like_k-release_eng_eng_d	159.013219
23	164.546478	e03_s1_seg	like_l_eng_eng_d	164.577316
24	164.577316	e03_s1_seg	like_i_eng_eng_d	164.652882
25	164.652882	e03_s1_seg	like_k-closure_eng_eng_d	164.720099
26	164.720099	e03_s1_seg	like_k-burst_eng_eng_d	164.750576
27	164.750576	e03_s1_seg	like_k-release_eng_eng_d_0	164.769724
28	170.096593	e03_s1_seg	so-jap_s_jap_jap	170.291410
29	170.291410	e03_s1_seg	so-jap_o_jap_jap	170.388818
30	171.389222	e03_s1_seg	so-jap_s_jap_jap	171.494992
31	171.494992	e03_s1_seg	so-jap_o_jap_jap	171.557826
32	177.043090	e03_s1_seg	nanka_na_jap_jap	177.122683
33	177.122683	e03_s1_seg	nanka_n_jap_jap	177.141996
34	177.141996	e03_s1_seg	nanka_ka_jap_jap	177.209884
35	189.115476	e03_s1_seg	nanka_na_jap_jap	189.235974
36	189.235974	e03_s1_seg	nanka_n_jap_jap	189.260859
37	189.260859	e03_s1_seg	nanka_ka_jap_jap	189.350577
38	192.863066	e03_s1_seg	nanka_na_jap_jap	192.924529
39	192.924529	e03_s1_seg	nanka_n_jap_jap	192.963002
40	192.963002	e03_s1_seg	nanka_ka_jap_jap	193.121585
41	194.880942	e03_s1_seg	nanka_na_jap_jap	194.956055
42	194.956055	e03_s1_seg	nanka_n_jap_jap	194.999541
43	194.999541	e03_s1_seg	nanka_ka_jap_jap	195.063584
44	212.926815	e03_s1_seg	like_l_eng_eng_d	212.966464
45	212.966464	e03_s1_seg	like_i_eng_eng_d	213.028135
46	213.028135	e03_s1_seg	like_k-closure_eng_eng_d	213.206140
47	213.206140	e03_s1_seg	like_k-burst_eng_eng_d_0	213.229967
48	213.229967	e03_s1_seg	like_k-release_eng_eng_d_0	213.251950
49	213.550944	e03_s1_seg	yeah_y_eng_eng	213.583410
50	213.583410	e03_s1_seg	yeah_eah_eng_eng	213.697532
51	230.779218	e03_s1_seg	so-eng_s_eng_eng	230.913905
52	230.913905	e03_s1_seg	so-eng_o_eng_eng	231.072871
53	232.460867	e03_s1_seg	yeah_y_eng_eng	232.505138
54	232.505138	e03_s1_seg	yeah_eah_eng_eng	232.603520
55	234.549240	e03_s1_seg	like_l_eng_eng_d	234.575170
56	234.575170	e03_s1_seg	like_i_eng_eng_d	234.622124
57	234.622124	e03_s1_seg	like_k-closure_eng_eng_d	234.666975
58	234.666975	e03_s1_seg	like_k-burst_eng_eng_d	234.670337
59	234.670337	e03_s1_seg	like_k-release_eng_eng_d_0	234.678889
60	237.423258	e03_s1_seg	like_l_eng_eng_d	237.468770
61	237.468770	e03_s1_seg	like_i_eng_eng_d	237.535287
62	237.535287	e03_s1_seg	like_k-closure_eng_eng_d	237.556293
63	237.556293	e03_s1_seg	like_k-burst_eng_eng_d	237.591302
64	237.591302	e03_s1_seg	like_k-release_eng_eng_d_0	237.643816
65	241.982049	e03_s1_seg	like_l_eng_eng_d	242.018740
66	242.018740	e03_s1_seg	like_i_eng_eng_d	242.136087
67	242.136087	e03_s1_seg	like_k-closure_eng_eng_d	242.192914
68	242.192914	e03_s1_seg	like_k-burst_eng_eng_d	242.306931
69	242.306931	e03_s1_seg	like_k-release_eng_eng_d_0	242.315985
70	248.597906	e03_s1_seg	like_l_eng_eng_d	248.625053
71	248.625053	e03_s1_seg	like_i_eng_eng_d	248.742216
72	248.742216	e03_s1_seg	like_k-closure_eng_eng_d	248.795083
73	248.795083	e03_s1_seg	like_k-burst_eng_eng_d	248.808657
74	248.808657	e03_s1_seg	like_k-release_eng_eng_d_0	248.823659
75	250.805616	e03_s1_seg	like_l_eng_eng_d	250.828551
76	250.828551	e03_s1_seg	like_i_eng_eng_d	250.894379
77	250.894379	e03_s1_seg	like_k-closure_eng_eng_d	251.040706
78	251.040706	e03_s1_seg	like_k-burst_eng_eng_d	251.044051
79	251.044051	e03_s1_seg	like_k-release_eng_eng_d_0	251.051884
80	264.717593	e03_s1_seg	so-eng_s_eng_eng	264.827768
81	264.827768	e03_s1_seg	so-eng_o_eng_eng	264.933284
82	265.082838	e03_s1_seg	like_l_eng_eng_d	265.100201
83	265.100201	e03_s1_seg	like_i_eng_eng_d	265.214462
84	265.214462	e03_s1_seg	like_k-closure_eng_eng_d	265.338246
85	265.338246	e03_s1_seg	like_k-burst_eng_eng_d_0	265.357289
86	265.357289	e03_s1_seg	like_k-release_eng_eng_d_0	265.370732
87	271.816993	e03_s1_seg	like_l_eng_eng_d	271.841531
88	271.841531	e03_s1_seg	like_i_eng_eng_d	271.918960
89	271.918960	e03_s1_seg	like_k-closure_eng_eng_d	271.992614
90	271.992614	e03_s1_seg	like_k-burst_eng_eng_d	271.997370
91	271.997370	e03_s1_seg	like_k-release_eng_eng_d_0	272.013334
92	278.240833	e03_s1_seg	like_l_eng_eng_d	278.285946
93	278.285946	e03_s1_seg	like_i_eng_eng_d	278.379590
94	278.379590	e03_s1_seg	like_k-closure_eng_eng_d	278.481437
