line,tmin,tier,text,word,sound,lang_pre,lang_post,type,presence,tmax,duration,duration_ms,file_name,pair,prompt,speaker,time,f1,f2,f3,gender
1,30.747349,e03_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,30.869553,0.12220399999999998,122.20399999999998,e03_b00_s2,e03,b00,s2,0.001,407.616,1353.175,2312.235,male
1,30.747349,e03_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,30.869553,0.12220399999999998,122.20399999999998,e03_b00_s2,e03,b00,s2,0.002,739.863,1482.756,2191.527,male
1,30.747349,e03_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,30.869553,0.12220399999999998,122.20399999999998,e03_b00_s2,e03,b00,s2,0.003,230.046,1407.4,2150.905,male
1,30.747349,e03_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,30.869553,0.12220399999999998,122.20399999999998,e03_b00_s2,e03,b00,s2,0.004,358.634,1153.959,2149.006,male
1,30.747349,e03_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,30.869553,0.12220399999999998,122.20399999999998,e03_b00_s2,e03,b00,s2,0.005,551.901,1164.065,2166.703,male
1,30.747349,e03_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,30.869553,0.12220399999999998,122.20399999999998,e03_b00_s2,e03,b00,s2,0.006,644.343,2091.26,2558.17,male
1,30.747349,e03_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,30.869553,0.12220399999999998,122.20399999999998,e03_b00_s2,e03,b00,s2,0.007,763.851,2039.39,2766.547,male
1,30.747349,e03_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,30.869553,0.12220399999999998,122.20399999999998,e03_b00_s2,e03,b00,s2,0.008,1181.053,2011.371,2765.04,male
1,30.747349,e03_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,30.869553,0.12220399999999998,122.20399999999998,e03_b00_s2,e03,b00,s2,0.009,235.021,803.651,2540.177,male
1,30.747349,e03_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,30.869553,0.12220399999999998,122.20399999999998,e03_b00_s2,e03,b00,s2,0.01,632.255,1284.949,2546.095,male
1,30.747349,e03_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,30.869553,0.12220399999999998,122.20399999999998,e03_b00_s2,e03,b00,s2,0.011,655.429,1258.664,2483.568,male
1,30.747349,e03_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,30.869553,0.12220399999999998,122.20399999999998,e03_b00_s2,e03,b00,s2,0.012,726.119,1740.586,2517.037,male
1,30.747349,e03_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,30.869553,0.12220399999999998,122.20399999999998,e03_b00_s2,e03,b00,s2,0.013,320.357,1614.985,2459.432,male
1,30.747349,e03_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,30.869553,0.12220399999999998,122.20399999999998,e03_b00_s2,e03,b00,s2,0.014,690.061,1723.774,2473.32,male
1,30.747349,e03_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,30.869553,0.12220399999999998,122.20399999999998,e03_b00_s2,e03,b00,s2,0.015,398.659,1190.26,1954.353,male
1,30.747349,e03_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,30.869553,0.12220399999999998,122.20399999999998,e03_b00_s2,e03,b00,s2,0.016,638.16,1411.605,2074.132,male
1,30.747349,e03_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,30.869553,0.12220399999999998,122.20399999999998,e03_b00_s2,e03,b00,s2,0.017,722.978,1626.186,2465.071,male
1,30.747349,e03_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,30.869553,0.12220399999999998,122.20399999999998,e03_b00_s2,e03,b00,s2,0.018,728.14,1667.851,2374.202,male
1,30.747349,e03_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,30.869553,0.12220399999999998,122.20399999999998,e03_b00_s2,e03,b00,s2,0.019,275.276,900.233,2146.224,male
1,30.747349,e03_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,30.869553,0.12220399999999998,122.20399999999998,e03_b00_s2,e03,b00,s2,0.02,650.193,1438.191,2478.505,male
1,30.747349,e03_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,30.869553,0.12220399999999998,122.20399999999998,e03_b00_s2,e03,b00,s2,0.021,715.454,1692.844,2369.977,male
1,30.747349,e03_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,30.869553,0.12220399999999998,122.20399999999998,e03_b00_s2,e03,b00,s2,0.022,722.187,1668.634,2519.237,male
1,30.747349,e03_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,30.869553,0.12220399999999998,122.20399999999998,e03_b00_s2,e03,b00,s2,0.023,630.795,2066.801,2221.701,male
1,30.747349,e03_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,30.869553,0.12220399999999998,122.20399999999998,e03_b00_s2,e03,b00,s2,0.024,534.244,1833.869,2591.568,male
1,30.747349,e03_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,30.869553,0.12220399999999998,122.20399999999998,e03_b00_s2,e03,b00,s2,0.025,419.787,1396.731,2311.554,male
1,30.747349,e03_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,30.869553,0.12220399999999998,122.20399999999998,e03_b00_s2,e03,b00,s2,0.026,734.218,1732.136,2632.628,male
1,30.747349,e03_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,30.869553,0.12220399999999998,122.20399999999998,e03_b00_s2,e03,b00,s2,0.027,310.567,987.229,1890.269,male
1,30.747349,e03_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,30.869553,0.12220399999999998,122.20399999999998,e03_b00_s2,e03,b00,s2,0.028,526.26,1009.657,2551.504,male
1,30.747349,e03_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,30.869553,0.12220399999999998,122.20399999999998,e03_b00_s2,e03,b00,s2,0.029,833.103,1900.449,2580.729,male
