line	tmin	tier	text	tmax
1	11.083803	e07_s2_seg	like_l_eng_eng_g	11.097657
2	11.097657	e07_s2_seg	like_i_eng_eng_g	11.177037
3	11.177037	e07_s2_seg	like_k-closure_eng_eng_g	11.277077
4	11.277077	e07_s2_seg	like_k-burst_eng_eng_g_0	11.281475
5	11.281475	e07_s2_seg	like_k-release_eng_eng_g_0	11.285197
6	21.110945	e07_s2_seg	like_l_eng_eng_g	21.135475
7	21.135475	e07_s2_seg	like_i_eng_eng_g	21.228531
8	21.228531	e07_s2_seg	like_k-closure_eng_eng_g	21.287368
9	21.287368	e07_s2_seg	like_k-burst_eng_eng_g	21.297963
10	21.297963	e07_s2_seg	like_k-release_eng_eng_g_0	21.320844
11	24.789068	e07_s2_seg	like_l_eng_eng_g	24.794891
12	24.794891	e07_s2_seg	like_i_eng_eng_g	24.868087
13	24.868087	e07_s2_seg	like_k-closure_eng_eng_g	24.921562
14	24.921562	e07_s2_seg	like_k-burst_eng_eng_g_0	24.922733
15	24.922733	e07_s2_seg	like_k-release_eng_eng_g_0	24.923903
16	27.878483	e07_s2_seg	yeah_y_eng_eng	27.933834
17	27.933834	e07_s2_seg	yeah_eah_eng_eng	27.983827
18	27.983827	e07_s2_seg	yeah_y_eng_eng	28.063663
19	28.063663	e07_s2_seg	yeah_eah_eng_eng	28.157906
20	28.157906	e07_s2_seg	yeah_y_eng_eng	28.259809
21	28.259809	e07_s2_seg	yeah_eah_eng_eng	28.337673
22	28.337673	e07_s2_seg	yeah_y_eng_eng	28.394757
23	28.394757	e07_s2_seg	yeah_eah_eng_eng	28.468674
24	28.468674	e07_s2_seg	yeah_y_eng_eng	28.555326
25	28.555326	e07_s2_seg	yeah_eah_eng_eng	28.631920
26	28.631920	e07_s2_seg	yeah_y_eng_eng	28.668277
27	28.668277	e07_s2_seg	yeah_eah_eng_eng	28.814382
28	61.658596	e07_s2_seg	like_l_eng_eng_d	61.672453
29	61.672453	e07_s2_seg	like_i_eng_eng_d	61.759652
30	61.759652	e07_s2_seg	like_k-closure_eng_eng_d	61.821786
31	61.821786	e07_s2_seg	like_k-burst_eng_eng_d	61.842963
32	61.842963	e07_s2_seg	like_k-release_eng_eng_d_0	61.853378
33	62.227729	e07_s2_seg	like_l_eng_eng_d	62.244656
34	62.244656	e07_s2_seg	like_i_eng_eng_d	62.329566
35	62.329566	e07_s2_seg	like_k-closure_eng_eng_d	62.381475
36	62.381475	e07_s2_seg	like_k-burst_eng_eng_d	62.385109
37	62.385109	e07_s2_seg	like_k-release_eng_eng_d_0	62.395283
38	82.541975	e07_s2_seg	so-eng_s_eng_eng	82.606604
39	82.606604	e07_s2_seg	so-eng_o_eng_eng	82.676771
40	89.717402	e07_s2_seg	like_l_eng_eng_d	89.735025
