line,tmin,tier,text,word,sound,lang_pre,lang_post,type,presence,tmax,duration,duration_ms,file_name,pair,prompt,speaker
1,133.415352,e00_s2_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,133.447764,0.03241199999999367,32.41199999999367,e00_a00_s2,e00,a00,s2
2,133.447764,e00_s2_seg,like_i_eng_eng_d,like,i,eng,eng,d,1,133.510424,0.06265999999999394,62.65999999999394,e00_a00_s2,e00,a00,s2
3,133.510424,e00_s2_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,133.579624,0.06919999999999504,69.19999999999504,e00_a00_s2,e00,a00,s2
4,133.579624,e00_s2_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,133.583237,0.0036130000000014206,3.6130000000014206,e00_a00_s2,e00,a00,s2
5,133.583237,e00_s2_seg,like_k-release_eng_eng_d_0,like,k-release,eng,eng,d,0,133.601625,0.018388000000015836,18.388000000015836,e00_a00_s2,e00,a00,s2
6,149.681859,e00_s2_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,149.71032400000001,0.028465000000011287,28.465000000011287,e00_a00_s2,e00,a00,s2
7,149.71032400000001,e00_s2_seg,like_i_eng_eng_d,like,i,eng,eng,d,1,149.792236,0.08191199999998844,81.91199999998844,e00_a00_s2,e00,a00,s2
8,149.792236,e00_s2_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,149.832331,0.040095000000007985,40.095000000007985,e00_a00_s2,e00,a00,s2
9,149.832331,e00_s2_seg,like_k-burst_eng_eng_d_0,like,k-burst,eng,eng,d,0,149.837466,0.005134999999995671,5.134999999995671,e00_a00_s2,e00,a00,s2
10,149.837466,e00_s2_seg,like_k-release_eng_eng_d_0,like,k-release,eng,eng,d,0,149.858522,0.021055999999987307,21.055999999987307,e00_a00_s2,e00,a00,s2
11,151.880692,e00_s2_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,151.919464,0.03877199999999448,38.77199999999448,e00_a00_s2,e00,a00,s2
12,151.919464,e00_s2_seg,like_i_eng_eng_d,like,i,eng,eng,d,1,152.022865,0.10340099999999097,103.40099999999097,e00_a00_s2,e00,a00,s2
13,152.022865,e00_s2_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,152.066427,0.04356200000000854,43.56200000000854,e00_a00_s2,e00,a00,s2
14,152.066427,e00_s2_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,152.08414200000001,0.017715000000009695,17.715000000009695,e00_a00_s2,e00,a00,s2
15,152.08414200000001,e00_s2_seg,like_k-release_eng_eng_d_0,like,k-release,eng,eng,d,0,152.113701,0.029558999999977686,29.558999999977686,e00_a00_s2,e00,a00,s2
16,240.803964,e00_s2_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,240.855852,0.05188799999999105,51.88799999999105,e00_a00_s2,e00,a00,s2
17,240.855852,e00_s2_seg,so-jap_o_jap_jap,so-jap,o,jap,jap,NA,1,240.892453,0.036600999999990336,36.600999999990336,e00_a00_s2,e00,a00,s2
18,242.150322,e00_s2_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,242.244538,0.09421600000001717,94.21600000001717,e00_a00_s2,e00,a00,s2
