line,tmin,tier,text,word,sound,lang_pre,lang_post,type,presence,tmax,duration,duration_ms,file_name,pair,prompt,speaker
1,19.73943,e01_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,19.816105,0.0766750000000016,76.6750000000016,e01_b00_s1,e01,b00,s1
2,19.816105,e01_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,19.884695,0.06859000000000037,68.59000000000037,e01_b00_s1,e01,b00,s1
3,19.884695,e01_s1_seg,nanka_ka_jap_jap,nanka,ka,jap,jap,NA,1,20.112218,0.22752299999999792,227.52299999999792,e01_b00_s1,e01,b00,s1
4,23.334489,e01_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,23.398248,0.06375899999999746,63.75899999999746,e01_b00_s1,e01,b00,s1
5,23.398248,e01_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,23.42858,0.030332000000001358,30.332000000001358,e01_b00_s1,e01,b00,s1
6,23.42858,e01_s1_seg,nanka_ka_jap_jap,nanka,ka,jap,jap,NA,1,23.553959,0.1253789999999988,125.3789999999988,e01_b00_s1,e01,b00,s1
7,34.065718,e01_s1_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,34.113648,0.047930000000000916,47.930000000000916,e01_b00_s1,e01,b00,s1
8,34.113648,e01_s1_seg,so-jap_o_jap_jap,so-jap,o,jap,jap,NA,1,34.213923,0.10027500000000344,100.27500000000344,e01_b00_s1,e01,b00,s1
9,40.325049,e01_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,40.418314,0.09326500000000237,93.26500000000237,e01_b00_s1,e01,b00,s1
10,40.418314,e01_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,40.472908,0.05459399999999448,54.59399999999448,e01_b00_s1,e01,b00,s1
11,40.472908,e01_s1_seg,nanka_ka_jap_jap,nanka,ka,jap,jap,NA,1,40.751315,0.2784070000000014,278.4070000000014,e01_b00_s1,e01,b00,s1
12,50.111644,e01_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,50.220178,0.1085339999999988,108.5339999999988,e01_b00_s1,e01,b00,s1
13,50.220178,e01_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,50.286349,0.0661710000000042,66.1710000000042,e01_b00_s1,e01,b00,s1
14,50.286349,e01_s1_seg,nanka_ka_jap_jap,nanka,ka,jap,jap,NA,1,50.511054,0.22470500000000015,224.70500000000015,e01_b00_s1,e01,b00,s1
15,69.60095,e01_s1_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,69.614291,0.013340999999996939,13.340999999996939,e01_b00_s1,e01,b00,s1
16,69.614291,e01_s1_seg,like_i_eng_eng_d,like,i,eng,eng,d,1,69.703632,0.08934100000000456,89.34100000000456,e01_b00_s1,e01,b00,s1
17,69.703632,e01_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,69.773452,0.0698200000000071,69.8200000000071,e01_b00_s1,e01,b00,s1
