line	tmin	tier	text	tmax
1	16.216031	e02_s2_seg	so-eng_s_eng_eng	16.405446
2	16.405446	e02_s2_seg	so-eng_o_eng_eng	16.606700
3	20.660121	e02_s2_seg	like_l_eng_eng_d	20.688147
4	20.688147	e02_s2_seg	like_i_eng_eng_d	20.806214
5	20.806214	e02_s2_seg	like_k-closure_eng_eng_d	20.885426
6	20.885426	e02_s2_seg	like_k-burst_eng_eng_d	21.001718
7	21.001718	e02_s2_seg	like_k-release_eng_eng_d_0	21.049551
8	27.432136	e02_s2_seg	so-eng_s_eng_eng	27.562263
9	27.562263	e02_s2_seg	so-eng_o_eng_eng	27.707004
10	27.707004	e02_s2_seg	like_l_eng_eng_d	27.730061
11	27.730061	e02_s2_seg	like_i_eng_eng_d	27.802396
12	27.802396	e02_s2_seg	like_k-closure_eng_eng_d	27.879353
13	27.879353	e02_s2_seg	like_k-burst_eng_eng_d	27.956309
14	27.956309	e02_s2_seg	like_k-release_eng_eng_d_0	27.967303
15	29.885370	e02_s2_seg	like_l_eng_eng_d	29.919702
16	29.919702	e02_s2_seg	like_i_eng_eng_d	29.998062
17	29.998062	e02_s2_seg	like_k-closure_eng_eng_d	30.066409
18	30.066409	e02_s2_seg	like_k-burst_eng_eng_d	30.078163
19	30.078163	e02_s2_seg	like_k-release_eng_eng_d_0	30.109287
20	32.012968	e02_s2_seg	so-eng_s_eng_eng	32.158154
21	32.158154	e02_s2_seg	so-eng_o_eng_eng	32.349408
22	33.647272	e02_s2_seg	like_l_eng_eng_d	33.692584
23	33.692584	e02_s2_seg	like_i_eng_eng_d	33.800371
24	33.800371	e02_s2_seg	like_k-closure_eng_eng_d	33.866279
25	33.866279	e02_s2_seg	like_k-burst_eng_eng_d	33.902666
26	33.902666	e02_s2_seg	like_k-release_eng_eng_d	33.930814
27	35.377573	e02_s2_seg	like_l_eng_eng_d	35.442136
28	35.442136	e02_s2_seg	like_i_eng_eng_d	35.533564
29	35.533564	e02_s2_seg	like_k-closure_eng_eng_d	35.620420
30	35.620420	e02_s2_seg	like_k-burst_eng_eng_d	35.726778
31	35.726778	e02_s2_seg	like_k-release_eng_eng_d_0	35.754869
32	37.976003	e02_s2_seg	like_l_eng_eng_d	38.034744
33	38.034744	e02_s2_seg	like_i_eng_eng_d	38.142070
34	38.142070	e02_s2_seg	like_k-closure_eng_eng_d	38.211333
35	38.211333	e02_s2_seg	like_k-burst_eng_eng_d	38.304308
36	38.304308	e02_s2_seg	like_k-release_eng_eng_d_0	38.335378
37	40.873487	e02_s2_seg	so-eng_s_eng_eng	40.981678
38	40.981678	e02_s2_seg	so-eng_o_eng_eng	41.156180
39	44.882167	e02_s2_seg	like_l_eng_eng_d	44.908545
40	44.908545	e02_s2_seg	like_i_eng_eng_d	45.017145
41	45.017145	e02_s2_seg	like_k-closure_eng_eng_d	45.101589
42	45.101589	e02_s2_seg	like_k-burst_eng_eng_d	45.181184
43	45.181184	e02_s2_seg	like_k-release_eng_eng_d_0	45.196993
44	53.556172	e02_s2_seg	yeah_y_eng_eng	53.586515
45	53.586515	e02_s2_seg	yeah_eah_eng_eng	53.690268
46	58.313928	e02_s2_seg	like_l_eng_eng_d	58.337248
47	58.337248	e02_s2_seg	like_i_eng_eng_d	58.445611
48	58.445611	e02_s2_seg	like_k-closure_eng_eng_d	58.563490
49	58.563490	e02_s2_seg	like_k-burst_eng_eng_d	58.658993
50	58.658993	e02_s2_seg	like_k-release_eng_eng_d_0	58.682123
51	65.584007	e02_s2_seg	like_l_eng_eng_d	65.619235
52	65.619235	e02_s2_seg	like_i_eng_eng_d	65.727561
53	65.727561	e02_s2_seg	like_k-closure_eng_eng_d	65.829722
54	65.829722	e02_s2_seg	like_k-burst_eng_eng_d	65.903845
55	65.903845	e02_s2_seg	like_k-release_eng_eng_d_0	65.932486
56	77.232026	e02_s2_seg	yeah_y_eng_eng	77.267222
57	77.267222	e02_s2_seg	yeah_eah_eng_eng	77.414083
58	80.370194	e02_s2_seg	yeah_y_eng_eng	80.412283
59	80.412283	e02_s2_seg	yeah_eah_eng_eng	80.887003
60	82.438190	e02_s2_seg	like_l_eng_eng_d	82.502003
61	82.502003	e02_s2_seg	like_i_eng_eng_d	82.614904
62	82.614904	e02_s2_seg	like_k-closure_eng_eng_d	82.686080
63	82.686080	e02_s2_seg	like_k-burst_eng_eng_d	82.789163
64	82.789163	e02_s2_seg	like_k-release_eng_eng_d_0	82.803777
65	84.986892	e02_s2_seg	yeah_y_eng_eng	85.019949
66	85.019949	e02_s2_seg	yeah_eah_eng_eng	85.307546
67	85.484199	e02_s2_seg	so-eng_s_eng_eng	85.639837
68	85.639837	e02_s2_seg	so-eng_o_eng_eng	85.867865
69	86.710636	e02_s2_seg	yeah_y_eng_eng	86.738735
70	86.738735	e02_s2_seg	yeah_eah_eng_eng	86.806502
71	120.305060	e02_s2_seg	yeah_y_eng_eng	120.345888
72	120.345888	e02_s2_seg	yeah_eah_eng_eng	120.512342
73	138.636350	e02_s2_seg	yeah_y_eng_eng	138.728999
74	138.728999	e02_s2_seg	yeah_eah_eng_eng	138.887601
75	147.614230	e02_s2_seg	like_l_eng_eng_d	147.662907
76	147.662907	e02_s2_seg	like_i_eng_eng_d	147.775328
77	147.775328	e02_s2_seg	like_k-closure_eng_eng_d	147.878476
78	147.878476	e02_s2_seg	like_k-burst_eng_eng_d	147.907451
79	147.907451	e02_s2_seg	like_k-release_eng_eng_d_0	147.932948
80	150.514854	e02_s2_seg	like_l_eng_eng_d	150.540010
81	150.540010	e02_s2_seg	like_i_eng_eng_d	150.665564
82	150.665564	e02_s2_seg	like_k-closure_eng_eng_d	150.800368
83	150.800368	e02_s2_seg	like_k-burst_eng_eng_d	150.835658
84	150.835658	e02_s2_seg	like_k-release_eng_eng_d_0	150.861807
85	151.160194	e02_s2_seg	like_l_eng_eng_d	151.188302
86	151.188302	e02_s2_seg	like_i_eng_eng_d	151.263256
87	151.263256	e02_s2_seg	like_k-closure_eng_eng_d	151.376088
88	151.376088	e02_s2_seg	like_k-burst_eng_eng_d	151.385562
89	151.385562	e02_s2_seg	like_k-release_eng_eng_d_0	151.391652
90	153.902263	e02_s2_seg	like_l_eng_eng_d	153.920102
91	153.920102	e02_s2_seg	like_i_eng_eng_d	153.985345
92	153.985345	e02_s2_seg	like_k-closure_eng_eng_d	154.056549
93	154.056549	e02_s2_seg	like_k-burst_eng_eng_d	154.061695
94	154.061695	e02_s2_seg	like_k-release_eng_eng_d_0	154.069391
95	155.275928	e02_s2_seg	so-eng_s_eng_eng	155.420707
96	155.420707	e02_s2_seg	so-eng_o_eng_eng	155.703027
97	157.661183	e02_s2_seg	like_l_eng_eng_d	157.689740
98	157.689740	e02_s2_seg	like_i_eng_eng_d	157.789691
99	157.789691	e02_s2_seg	like_k-closure_eng_eng_d	157.840855
100	157.840855	e02_s2_seg	like_k-burst_eng_eng_d	157.906299
101	157.906299	e02_s2_seg	like_k-release_eng_eng_d	157.978882
102	161.383303	e02_s2_seg	so-eng_s_eng_eng	161.526925
103	161.526925	e02_s2_seg	so-eng_o_eng_eng	161.618025
104	161.631762	e02_s2_seg	like_l_eng_eng_d	161.677817
105	161.677817	e02_s2_seg	like_i_eng_eng_d	161.811174
106	161.811174	e02_s2_seg	like_k-closure_eng_eng_d	161.928467
107	161.928467	e02_s2_seg	like_k-burst_eng_eng_d	161.931696
108	161.931696	e02_s2_seg	like_k-release_eng_eng_d_0	161.948313
109	165.043199	e02_s2_seg	like_l_eng_eng_d	165.074402
110	165.074402	e02_s2_seg	like_i_eng_eng_d	165.192803
111	165.192803	e02_s2_seg	like_k-closure_eng_eng_d	165.259056
112	165.259056	e02_s2_seg	like_k-burst_eng_eng_d	165.280856
113	165.280856	e02_s2_seg	like_k-release_eng_eng_d_0	165.287636
114	167.141519	e02_s2_seg	like_l_eng_eng_d	167.192822
