line,tmin,tier,text,word,sound,lang_pre,lang_post,type,presence,tmax,duration,duration_ms,file_name,pair,prompt,speaker,time,f1,f2,f3,gender
1,93.905161,e08_s2_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,94.008834,0.10367299999998636,103.67299999998636,e08_a00_s2,e08,a00,s2,0.001,922.214,1841.012,2849.541,female
1,93.905161,e08_s2_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,94.008834,0.10367299999998636,103.67299999998636,e08_a00_s2,e08,a00,s2,0.002,357.506,1098.358,2611.011,female
1,93.905161,e08_s2_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,94.008834,0.10367299999998636,103.67299999998636,e08_a00_s2,e08,a00,s2,0.003,454.607,1317.427,2374.026,female
1,93.905161,e08_s2_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,94.008834,0.10367299999998636,103.67299999998636,e08_a00_s2,e08,a00,s2,0.004,1536.178,2456.37,3194.496,female
1,93.905161,e08_s2_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,94.008834,0.10367299999998636,103.67299999998636,e08_a00_s2,e08,a00,s2,0.005,372.086,1192.091,2675.124,female
1,93.905161,e08_s2_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,94.008834,0.10367299999998636,103.67299999998636,e08_a00_s2,e08,a00,s2,0.006,1392.553,2219.2,3446.178,female
1,93.905161,e08_s2_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,94.008834,0.10367299999998636,103.67299999998636,e08_a00_s2,e08,a00,s2,0.007,1066.65,1905.125,3681.309,female
1,93.905161,e08_s2_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,94.008834,0.10367299999998636,103.67299999998636,e08_a00_s2,e08,a00,s2,0.008,384.93,1209.851,2197.156,female
1,93.905161,e08_s2_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,94.008834,0.10367299999998636,103.67299999998636,e08_a00_s2,e08,a00,s2,0.009,1050.311,2589.048,3374.935,female
1,93.905161,e08_s2_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,94.008834,0.10367299999998636,103.67299999998636,e08_a00_s2,e08,a00,s2,0.01,750.434,1546.422,2969.17,female
1,93.905161,e08_s2_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,94.008834,0.10367299999998636,103.67299999998636,e08_a00_s2,e08,a00,s2,0.011,440.786,1255.129,3087.706,female
1,93.905161,e08_s2_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,94.008834,0.10367299999998636,103.67299999998636,e08_a00_s2,e08,a00,s2,0.012,290.432,1739.938,3378.454,female
1,93.905161,e08_s2_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,94.008834,0.10367299999998636,103.67299999998636,e08_a00_s2,e08,a00,s2,0.013,872.856,1766.07,3139.837,female
1,93.905161,e08_s2_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,94.008834,0.10367299999998636,103.67299999998636,e08_a00_s2,e08,a00,s2,0.014,872.488,2635.13,3398.788,female
1,93.905161,e08_s2_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,94.008834,0.10367299999998636,103.67299999998636,e08_a00_s2,e08,a00,s2,0.015,376.876,1164.339,2276.488,female
1,93.905161,e08_s2_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,94.008834,0.10367299999998636,103.67299999998636,e08_a00_s2,e08,a00,s2,0.016,833.498,1603.977,3321.278,female
