line,tmin,tier,text,word,sound,lang_pre,lang_post,type,presence,tmax,duration,duration_ms,file_name,pair,prompt,speaker
1,67.765632,e08_s2_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,67.796314,0.030681999999998766,30.681999999998766,e08_b00_s2,e08,b00,s2
2,67.796314,e08_s2_seg,like_i_eng_eng_d,like,i,eng,eng,d,1,67.84265,0.04633600000001081,46.33600000001081,e08_b00_s2,e08,b00,s2
3,67.84265,e08_s2_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,67.878692,0.0360419999999948,36.0419999999948,e08_b00_s2,e08,b00,s2
4,67.878692,e08_s2_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,67.913018,0.03432599999999297,34.32599999999297,e08_b00_s2,e08,b00,s2
5,67.913018,e08_s2_seg,like_k-release_eng_eng_d_0,like,k-release,eng,eng,d,0,67.924567,0.011549000000002252,11.549000000002252,e08_b00_s2,e08,b00,s2
6,69.063086,e08_s2_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,69.108344,0.04525800000000402,45.25800000000402,e08_b00_s2,e08,b00,s2
7,69.108344,e08_s2_seg,like_i_eng_eng_d,like,i,eng,eng,d,1,69.199292,0.09094799999999736,90.94799999999736,e08_b00_s2,e08,b00,s2
8,69.199292,e08_s2_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,69.290422,0.09113000000000682,91.13000000000682,e08_b00_s2,e08,b00,s2
9,69.290422,e08_s2_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,69.305046,0.01462399999999775,14.62399999999775,e08_b00_s2,e08,b00,s2
10,69.305046,e08_s2_seg,like_k-release_eng_eng_d_0,like,k-release,eng,eng,d,0,69.33369,0.028643999999999892,28.643999999999892,e08_b00_s2,e08,b00,s2
11,98.648394,e08_s2_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,98.753946,0.10555200000000298,105.55200000000298,e08_b00_s2,e08,b00,s2
12,98.753946,e08_s2_seg,so-jap_o_eng_eng,so-jap,o,eng,eng,NA,1,99.062398,0.3084520000000026,308.4520000000026,e08_b00_s2,e08,b00,s2
13,110.606318,e08_s2_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,110.720608,0.1142899999999969,114.2899999999969,e08_b00_s2,e08,b00,s2
14,110.720608,e08_s2_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,110.760701,0.040092999999998824,40.092999999998824,e08_b00_s2,e08,b00,s2
15,110.760701,e08_s2_seg,nanka_ka_jap_jap,nanka,ka,jap,jap,NA,1,110.846689,0.0859880000000004,85.9880000000004,e08_b00_s2,e08,b00,s2
16,116.305323,e08_s2_seg,nanka_na_jap_eng,nanka,na,jap,eng,NA,1,116.346655,0.04133199999999704,41.33199999999704,e08_b00_s2,e08,b00,s2
17,116.346655,e08_s2_seg,nanka_n_jap_eng,nanka,n,jap,eng,NA,1,116.384366,0.037711000000001604,37.711000000001604,e08_b00_s2,e08,b00,s2
18,116.384366,e08_s2_seg,nanka_ka_jap_eng,nanka,ka,jap,eng,NA,1,116.466493,0.08212699999999984,82.12699999999984,e08_b00_s2,e08,b00,s2
19,122.082945,e08_s2_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,122.168515,0.08557000000000414,85.57000000000414,e08_b00_s2,e08,b00,s2
20,122.168515,e08_s2_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,122.193684,0.025169000000005326,25.169000000005326,e08_b00_s2,e08,b00,s2
