line,tmin,tier,text,word,sound,lang_pre,lang_post,type,presence,tmax,duration,duration_ms,file_name,pair,prompt,speaker,time,f1,f2,f3,gender
1,32.405941,e00_s2_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,32.508439,0.1024980000000042,102.4980000000042,e00_b00_s2,e00,b00,s2,0.001,1101.025,1325.269,2140.025,female
1,32.405941,e00_s2_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,32.508439,0.1024980000000042,102.4980000000042,e00_b00_s2,e00,b00,s2,0.002,913.203,1827.542,2839.823,female
1,32.405941,e00_s2_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,32.508439,0.1024980000000042,102.4980000000042,e00_b00_s2,e00,b00,s2,0.003,706.118,1506.14,3097.385,female
1,32.405941,e00_s2_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,32.508439,0.1024980000000042,102.4980000000042,e00_b00_s2,e00,b00,s2,0.004,722.127,1541.291,1616.511,female
1,32.405941,e00_s2_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,32.508439,0.1024980000000042,102.4980000000042,e00_b00_s2,e00,b00,s2,0.005,634.142,1334.678,2069.815,female
1,32.405941,e00_s2_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,32.508439,0.1024980000000042,102.4980000000042,e00_b00_s2,e00,b00,s2,0.006,901.944,1690.029,2738.868,female
1,32.405941,e00_s2_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,32.508439,0.1024980000000042,102.4980000000042,e00_b00_s2,e00,b00,s2,0.007,664.164,2912.635,3751.943,female
1,32.405941,e00_s2_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,32.508439,0.1024980000000042,102.4980000000042,e00_b00_s2,e00,b00,s2,0.008,792.426,1575.706,2890.235,female
1,32.405941,e00_s2_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,32.508439,0.1024980000000042,102.4980000000042,e00_b00_s2,e00,b00,s2,0.009,415.628,1215.649,2219.664,female
1,32.405941,e00_s2_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,32.508439,0.1024980000000042,102.4980000000042,e00_b00_s2,e00,b00,s2,0.01,466.546,1261.661,2559.499,female
1,32.405941,e00_s2_seg,so-jap_s_jap_jap,so-jap,s,jap,jap,NA,1,32.508439,0.1024980000000042,102.4980000000042,e00_b00_s2,e00,b00,s2,0.011,568.509,1409.274,3300.951,female
