line	tmin	tier	text	tmax
1	17.369284	e00_s1_seg	so-eng_s_eng_eng	17.457994
2	17.457994	e00_s1_seg	so-eng_o_eng_eng	17.514805
3	19.266781	e00_s1_seg	nanka_na_jap_jap	19.388392
4	19.388392	e00_s1_seg	nanka_n_jap_jap	19.424639
5	19.424639	e00_s1_seg	nanka_ka_jap_jap	19.604186
6	21.918166	e00_s1_seg	nanka_na_jap_jap	22.002508
7	22.002508	e00_s1_seg	nanka_n_jap_jap	22.029278
8	22.029278	e00_s1_seg	nanka_ka_jap_jap	22.178359
9	27.022264	e00_s1_seg	nanka_na_jap_jap	27.150707
10	27.150707	e00_s1_seg	nanka_n_jap_jap	27.190808
11	27.190808	e00_s1_seg	nanka_ka_jap_jap	27.333629
12	27.584463	e00_s1_seg	nanka_na_jap_jap	27.710445
13	27.710445	e00_s1_seg	nanka_n_jap_jap	27.736786
14	27.736786	e00_s1_seg	nanka_ka_jap_jap	27.813902
15	30.619059	e00_s1_seg	nanka_na_jap_jap	30.733464
16	30.733464	e00_s1_seg	nanka_n_jap_jap	30.754555
17	30.754555	e00_s1_seg	nanka_ka_jap_jap	30.847413
18	33.439113	e00_s1_seg	nanka_na_jap_jap	33.518202
19	33.518202	e00_s1_seg	nanka_n_jap_jap	33.549581
20	33.549581	e00_s1_seg	nanka_ka_jap_jap	33.607537
21	34.739365	e00_s1_seg	nanka_na_jap_jap	34.799234
22	34.799234	e00_s1_seg	nanka_n_jap_jap	34.822877
23	34.822877	e00_s1_seg	nanka_ka_jap_jap	34.910021
24	48.004161	e00_s1_seg	so-jap_s_jap_jap	48.061565
25	48.061565	e00_s1_seg	so-jap_o_jap_jap	48.224254
26	58.013865	e00_s1_seg	nanka_na_jap_jap	58.168578
27	58.168578	e00_s1_seg	nanka_n_jap_jap	58.220786
28	58.220786	e00_s1_seg	nanka_ka_jap_jap	58.401604
29	62.747736	e00_s1_seg	nanka_na_jap_jap	62.848341
30	62.848341	e00_s1_seg	nanka_n_jap_jap	62.891845
31	62.891845	e00_s1_seg	nanka_ka_jap_jap	63.123550
32	81.448928	e00_s1_seg	nanka_na_jap_jap	81.551332
33	81.551332	e00_s1_seg	nanka_n_jap_jap	81.578692
34	81.578692	e00_s1_seg	nanka_ka_jap_jap	81.670543
35	83.262960	e00_s1_seg	like_l_jap_eng_d	83.278592
36	83.278592	e00_s1_seg	like_i_jap_eng_d	83.381943
37	83.381943	e00_s1_seg	like_k-closure_jap_eng_d	83.493327
38	83.493327	e00_s1_seg	like_k-burst_jap_eng_d	83.505106
39	83.505106	e00_s1_seg	like_k-release_jap_eng_d	83.547588
40	85.026026	e00_s1_seg	like_l_eng_eng_d	85.051040
41	85.051040	e00_s1_seg	like_i_eng_eng_d	85.105423
42	85.105423	e00_s1_seg	like_k-closure_eng_eng_d	85.137012
43	85.137012	e00_s1_seg	like_k-burst_eng_eng_d	85.140797
44	85.140797	e00_s1_seg	like_k-release_eng_eng_d_0	85.146877
45	85.614025	e00_s1_seg	like_l_eng_eng_d	85.630002
46	85.630002	e00_s1_seg	like_i_eng_eng_d	85.722271
47	85.722271	e00_s1_seg	like_k-closure_eng_eng_d	85.776294
48	85.776294	e00_s1_seg	like_k-burst_eng_eng_d	85.785970
49	85.785970	e00_s1_seg	like_k-release_eng_eng_d_0	85.793077
50	87.721791	e00_s1_seg	like_l_eng_eng_d	87.772954
51	87.772954	e00_s1_seg	like_i_eng_eng_d	87.881211
52	87.881211	e00_s1_seg	like_k-closure_eng_eng_d	87.946037
53	87.946037	e00_s1_seg	like_k-burst_eng_eng_d	87.950485
