line,tmin,tier,text,word,sound,lang_pre,lang_post,type,presence,tmax,duration,duration_ms,file_name,pair,prompt,speaker,speaking,time,f1,f2,f3,gender
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.026,991.869,1894.825,3657.948,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.027,969.354,1732.794,3429.888,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.028,1378.525,2115.327,3210.552,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.029,833.793,1620.613,2473.683,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.03,746.688,1446.756,2735.631,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.031,1068.228,1917.925,3504.466,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.032,779.88,2315.529,3364.498,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.033,960.685,2012.698,2759.992,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.034,691.138,1329.688,2474.505,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.035,420.791,1263.742,2258.809,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.036,373.317,1150.167,2807.264,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.037,1374.53,2212.705,3034.432,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.038,553.523,1701.704,2560.759,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.039,403.048,1331.535,2447.443,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.04,861.283,2021.424,2792.152,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.041,1069.833,1876.688,2968.141,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.042,689.699,1634.498,2776.391,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.043,948.535,2818.754,3703.048,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.044,728.035,2104.035,2910.121,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.045,984.015,1857.155,2636.651,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.046,985.486,1825.336,2694.968,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.047,1011.599,1992.396,2979.677,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.048,740.793,1567.947,2580.554,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.049,625.671,1499.434,3000.657,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.05,535.205,1529.75,2980.549,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.051,374.308,1837.519,2756.019,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.052,695.047,1342.588,2673.969,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.053,449.085,1409.233,2790.318,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.054,734.029,1554,2801.611,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.055,1045.048,1898.058,2880.684,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.056,980.835,1863.423,2837.517,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.057,507.47,1826.853,2635.386,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.058,473.193,1724.48,2535.249,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.059,976.129,1819.676,2583.968,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.06,889.379,1703.459,2545.109,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.061,493.264,1833.89,2558.221,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.062,462.606,1854.549,2625.494,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.063,565.972,1861.377,2584.981,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.064,415.509,1157.416,1959.138,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.065,632.701,1510.172,2425.496,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.066,1016.999,1956.089,2799.454,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.067,848.342,1725.01,2699.015,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.068,931.819,1816.408,2940.869,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.069,707.318,1510.22,2423.21,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.07,490.494,1282.253,2124.708,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.071,820.724,1598.894,2412.451,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.072,437.773,1294.208,2186.689,female
