tier	utterance	duration_s
e08_a00_s1_jap	アト	0.5356154096699584
e08_a00_s1_jap	ハ	0.3424426389693167
e08_a00_s1_jap	オワリ　<laugh>	1.5717239070642677
e08_a00_s1_jap	<laugh>	1.0361084973943662
e08_a00_s1_jap	<laugh>　アト　ゴフン　グライ　<laugh>	2.8185663361320508
e08_a00_s1_jap	エット	1.0624502388535007
e08_a00_s1_jap	ナン　ダロー　ナ	1.1502560437174338
e08_a00_s1_jap	<breath>	0.21951451215977613
e08_a00_s1_jap	カイガイ　ニ　スム　コト　ニ　ツイテ　アナタ　ガ　ユニーク　ダ　ト　オモウ　デ	3.5473545165026508
e08_a00_s1_jap	アー　<breath>	1.589285068037043
e08_a00_s1_jap	アー　ジャー	0.869277468152859
e08_a00_s1_jap	アノ　カイガイ　ニ　スンデ　マー　ニホンジン　ト　デアウ　デショー	2.537587760567476
e08_a00_s1_jap	ソシタラ　サー　マー　ユリナ　ミタイ　ニ　ソノ　トモダチ　ノ　トモダチ　ガ　ワタシ　ノ　スゴイ　チカク　ノ	3.872235994499192
e08_a00_s1_jap	トモフダチ　トカ　ムカシ　ニ　アッタ　コト　ノ　アル　トモダチ　ダッタリ　トカ	2.8624692385639605
e08_a00_s1_jap	ナンカ　カイガイ　ニ　イッタラ　スゴイ　キュー　ニ　セカイ　ガ　セマク　ナル　ッテイウカ	3.336620584829234
e08_a00_s1_jap	ソー　セカイ　セカイ　デテン　ノニ	2.5112460191082846
e08_a00_s1_jap	メッチャ　ナンカ　エッ　ココ　モ　ツナガッテンノ　エーッ　ッテ　ナル	4.328826179791577
e08_a00_s1_jap	ソー　ナル　ナル　ネ	1.7297743558193588
e08_a00_s1_jap	イッパイ　イタ　ネ	0.8429357266936677
e08_a00_s1_jap	ダネ　<laugh>	2.2039257020845753
e08_a00_s1_jap	ソー　ヤ　ネ	0.9115604968488356
e08_a00_s1_jap	ソー　ダカラ　ギャンク　ニ　ソノ　ニホンジン　ト　アタラシー　ニホンジン　ト　チガウ　トチ　デ　アッテ	5.843569813334739
e08_a00_s1_jap	ナンカ　コー	1.0361084973943093
e08_a00_s1_jap	ソー　ツナガッテ　ッテ　イウ	1.7122131948465267
e08_a00_s1_jap	ナン　モ　オモシロイ	1.238061848581367
e08_a00_s1_jap	ト　オモウ	0.6848852779386334
e08_a00_s1_jap	ンー	0.509273668210767
e08_a00_s1_jap	<breath>	1.589285068037043
e08_a00_s1_jap	エッ　ウソー	1.0009861754487588
e08_a00_s1_jap	<laugh>	0.7112270193978247
e08_a00_s1_jap	ハイ　ハイ　ハイ	0.7902522437753419
e08_a00_s1_jap	アー　<laugh>	2.037094672843068
e08_a00_s1_jap	アー	0.4126872828604746
e08_a00_s1_jap	ン	0.3951261218876425
e08_a00_s1_jap	<laugh>	1.0624502388535007
e08_a00_s1_jap	オーゲンカ　シテンノ　<laugh>	2.765882853213668
e08_a00_s1_jap	ンー	0.8253745657208924
e08_a00_s1_jap	ンー	0.5619571511290928
e08_a00_s1_jap	アソー　ネ　オーバーリアクション　ッテ　カンジ　ヤ　ネ	2.7219799507817015
e08_a00_s1_jap	<laugh>	1.8966053850607523
e08_a00_s1_jap	ソリャ　オモシッ	0.7551299218297913
e08_a00_s1_jap	オモシロイ　コト　	3.0732031702374343
e08_a00_s1_jap	ンー	1.3785511363636829
e08_a00_s1_jap	アナタ　ガ　ユニーク　ダ　ト　オモウ　ケイケン	1.6770908729009761
e08_a00_s1_jap	エッ　サー　ナンカ　ガイコクジン　ノ	1.7561160972784933
e08_a00_s1_jap	ニホンジン　ニ　タイ　スル	1.238061848581367
e08_a00_s1_jap	アノ　ナニ	0.9483026925303761
e08_a00_s1_jap	ステレオタイプ　ナ	1.36977055587721
e08_a00_s1_jap	アノ	0.8253745657208924
e08_a00_s1_jap	ナンテ　ニンジャ　トカ　サ　サムライ　トカ　サ　<laugh>　ホンキ　デ　イッテクル　ノ　ヨ	5.154200745512469
e08_a00_s1_jap	ハッ　テ　オモウ　ヤンカ	1.1502560437174338
e08_a00_s1_jap	<breath>　ゼンゼン　シタ　コト　ナイ　デス　ケド　ミタイナ	2.5814906629993857
e08_a00_s1_jap	ナンカ　ソー　イウー	1.1239143022582425
e08_a00_s1_jap	ンー　ナンカ　ホントー　ニ　イッテ　ソー　ソー　ソー	2.748321692240893
e08_a00_s1_jap	エッ	0.720007599884184
e08_a00_s1_jap	<laugh>　	3.2224730385060525
e08_a00_s1_jap	ホンマ　ニ	1.4312346192819518
e08_a00_s1_jap	<breath>	0.49171250723799176
e08_a00_s1_jap	アノ　<laugh>　？	1.4751375217139753
e08_a00_s1_jap	<breath>	0.23707567313260824
e08_a00_s1_jap	ンー　ソー　ネ	1.8000189997104599
e08_a00_s1_jap	<breath>　ンー	1.0273279169079501
e08_a00_s1_jap	<breath>　ソー　ネ　ブンカ　ダ　ネ	1.8702636436016178
e08_a00_s1_jap	ブンカ　ニ　タイ　シテ	1.0448890778807254
e08_a00_s1_jap	チョット　ヘン　ナ	0.7814716632889827
e08_a00_s1_jap	<laugh>	3.98638354082226
e08_a00_s1_jap	オー　<breath>　	3.029300224853955
e08_a00_s1_jap	ハーイ	0.40968125142927647
