tier	utterance	duration_s
e07_b00_s1_jap	ア　デモ　ユーチューブ　エッツ　ビデッ　アッ　ナンカ　インターネット　デ　イッタラ　	2.4360283911702254
e07_b00_s1_jap	ケッコー　コナン　ミマス　ネ	1.1405682062704727
e07_b00_s1_jap	<laugh>	1.760136120787763
e07_b00_s1_jap	<laugh>	0.6195679145172903
e07_b00_s1_jap	<breath>　	0.6758922703824624
e07_b00_s1_jap	ンー　コナン　ハ　ナンカ	1.3658656297312746
e07_b00_s1_jap	イツマデ　タッテモ	0.887108604877028
e07_b00_s1_jap	ナンカ　	0.4083515800227815
e07_b00_s1_jap	カンガエサセラレル　シ	1.3517845407649816
e07_b00_s1_jap	オモシロイ　ナ　ト　オモッテ	1.1828114731693518
e07_b00_s1_jap	<laugh>	0.2675406903597377
e07_b00_s1_jap	ダレ　<laugh>　ガ　コナン　エッ	2.098082255978966
e07_b00_s1_jap	コナン　<laugh>	0.9434329607422001
e07_b00_s1_jap	<laugh>	0.887108604877028
e07_b00_s1_jap	ゲンタ	0.5210002917531256
e07_b00_s1_jap	<laugh>	0.5491624696857684
e07_b00_s1_jap	<breath>	0.1548919786293368
e07_b00_s1_jap	アー　ワカル　ワカル　ワカル	1.802379387686642
e07_b00_s1_jap	ンー　ンー　ンー　ンー	1.1828114731693518
e07_b00_s1_jap	アト　カイトーキッド　モ　イイ　ケド　ナ	1.1828114731693518
e07_b00_s1_jap	<laugh>	0.8307842490117991
e07_b00_s1_jap	ヘー	1.1405682062704727
e07_b00_s1_jap	ヘー　ソー　ナン　ヤ	1.5630008752595472
e07_b00_s1_jap	<laugh>	0.7744598931466271
e07_b00_s1_jap	アー　ミタ　コト　アリマス　ミタ　コト　アル　ナン　ユーチューブ　デ	2.013595722181151
e07_b00_s1_jap	アノー	0.5632435586521183
e07_b00_s1_jap	ナッナニ　エフビーアイ　ノ　ヒト　ダレ　デシタッケ	1.6110903607381033
e07_b00_s1_jap	エフビーアイ　ノ	0.7488096944101699
e07_b00_s1_jap	アッ　ジョリー　センセイ	0.7322166262476912
e07_b00_s1_jap	エフビーアイ　ノ	0.49283811382053955
e07_b00_s1_jap	<laugh>　ジョリーセンセイ　ト	1.7038117649225342
e07_b00_s1_jap	ハットリ　ヘイジ　ガ　ナンカ　？	1.999514633214858
e07_b00_s1_jap	ンー	0.39427049105643164
e07_b00_s1_jap	<laugh>	1.0983249393715369
e07_b00_s1_jap	ンー	0.35202722415760945
e07_b00_s1_jap	ンー　ンー	0.4505948469216037
e07_b00_s1_jap	ンー	0.18305415656197965
e07_b00_s1_jap	ンー	0.19009470104515458
e07_b00_s1_jap	ンー	0.34498667967432084
e07_b00_s1_jap	<laugh>	1.3144029101014212
e07_b00_s1_jap	<laugh>　アー	1.5084512505899283
e07_b00_s1_jap	セイユーサン　ハ　ニホンジン　ナン　デス　カ　ネ　ドー　ナン　ダロー	1.7720640904988159
e07_b00_s1_jap	ンー	0.27428685329118707
e07_b00_s1_jap	ンー　ンー　ンー	0.6530639364075341
e07_b00_s1_jap	エー	0.9534733471549544
e07_b00_s1_jap	<laugh>　ソレ　ガ　キ　ニ　ナル　ッテイウ	1.4040874632760278
e07_b00_s1_jap	ウン	0.5420430672181737
e07_b00_s1_jap	ンー　<laugh>　	1.4106181026401146
e07_b00_s1_jap	<breath>	0.32000132883968035
e07_b00_s1_jap	<laugh>　ンー	1.1755150855334477
e07_b00_s1_jap	ンー	0.4114302799366669
e07_b00_s1_jap	<laugh>　	0.457144726063234
e07_b00_s1_jap	ンー	0.1386267412685811
